name,duration,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,n_beats,n_bars,genre
Screams,257,21,Greensky Bluegrass,Stress Dreams,0.588,0.534,9,-12.527,0.0271,0.458,0.0635,0.492,0.492,114.082,487.0,122.0,bluegrass
Melodies from Heaven,270,8,Roy Davis Jr.,Water for Thirsty Children,0.646,0.441,9,-13.942,0.0297,0.0777,0.899,0.0989,0.767,93.042,417.0,104.0,chicago-house
In Your Heart,225,31,Project Pitchfork,Fragment (Deluxe Version),0.548,0.977,0,-5.051,0.0548,0.0274,0.106,0.333,0.769,120.011,448.0,111.0,industrial
望月想愛人,200,26,Hong Ronghong,洪榮宏台語專輯7 未了情.台北今夜冷清清,0.683,0.477,1,-8.769,0.0442,0.049,0.00128,0.129,0.609,129.28,425.0,107.0,mandopop
瞳はダイアモンド,260,27,Seiko Matsuda,Canary,0.524,0.396,7,-9.094,0.028,0.658,0.000184,0.139,0.348,161.232,671.0,168.0,j-idol
Siempre Brilla El Sol,219,56,Lori Meyers,En La Espiral,0.484,0.711,8,-5.172,0.0331,0.062,0.00358,0.106,0.715,171.939,621.0,155.0,spanish
Mais um Beijo Perdido,156,38,Caninana;João Gomes,"Caninana Entre Amigos, Parte 3",0.458,0.828,4,-4.239,0.0409,0.354,1.12e-05,0.149,0.833,75.859,195.0,48.0,forro
Wind It Up - The Rewound Edit,211,19,The Prodigy,Wind It Up (Rewound),0.578,0.735,1,-11.431,0.0378,0.000797,0.782,0.234,0.552,145.096,503.0,125.0,breakbeat
Hai Kahan Ka Irada,325,55,Nusrat Fateh Ali Khan;Afternight Vibes,"Revamped, Vol. 3 (Remix)",0.431,0.748,9,-6.434,0.0846,0.117,2.69e-05,0.154,0.457,88.457,468.0,119.0,indian
Leather And Metal,166,25,Cruel Force,The Rise Of Satanic Might,0.282,0.997,6,-4.833,0.0774,3.3e-06,0.664,0.052,0.615,177.114,473.0,117.0,black-metal
U MI LUV,219,46,jahmiel,U MI LUV,0.65,0.592,5,-6.193,0.112,0.372,0.0,0.0866,0.58,135.971,489.0,122.0,j-dance
Down Home Summertime Blues,222,21,Norman Blake,Back Home In Sulphur Springs,0.618,0.474,7,-11.444,0.0285,0.866,0.0066,0.101,0.477,93.43,338.0,84.0,bluegrass
Jeet,184,60,Ritviz,Ved,0.787,0.734,0,-6.465,0.0703,0.364,0.000995,0.0625,0.644,98.989,305.0,75.0,indian
Electroshock,303,9,Freestylers,Other Worlds,0.612,0.921,4,-5.37,0.0388,0.0303,0.227,0.363,0.692,128.009,644.0,162.0,breakbeat
March Of The Pigs,178,51,Nine Inch Nails,The Downward Spiral,0.503,0.903,2,-7.427,0.0527,0.0218,0.197,0.0861,0.0586,134.462,397.0,98.0,industrial
La Increíble Historia del Hombre Que Podía Volar Pero No Sabía Cómo,289,56,IZAL,Autoterapia,0.548,0.838,11,-5.683,0.161,0.0761,0.000134,0.327,0.438,156.914,743.0,185.0,spanish
Get A Way,226,63,Maxx,To The Maxximum,0.852,0.864,2,-10.131,0.0387,0.0334,0.0239,0.0525,0.603,132.999,495.0,123.0,techno
'98 To Piano,366,18,Forze DJ Team,Thunderdome Die Hard,0.741,0.91,5,-7.419,0.0547,0.0666,0.408,0.159,0.556,149.869,910.0,229.0,happy
If I Didn't Have You - Hidehiko Ishizuka & Yuji Tanaka Version,219,35,Hidehiko Ishizuka;Yuji Tanaka,"Monsters, Inc. (Original Motion Picture Soundtrack/Japan Release Version)",0.607,0.426,8,-10.044,0.0586,0.454,0.0,0.321,0.606,122.568,441.0,108.0,disney
Sete Trombetas,331,50,Lauriete,Vou Profetizar,0.594,0.651,9,-5.484,0.0394,0.62,0.0,0.0782,0.397,140.02,764.0,193.0,brazil
All Night Long,341,21,Layo & Bushwacka!,Night Works,0.753,0.723,1,-9.045,0.0862,0.000621,0.166,0.204,0.49,135.961,775.0,195.0,breakbeat
029,446,1,The Reason Y,029,0.713,0.964,7,-8.399,0.0413,7.1e-05,0.683,0.0946,0.146,132.994,983.0,245.0,techno
平成終わるってよ,310,23,SASUKE,平成終わるってよ,0.687,0.812,8,-4.389,0.0467,0.119,0.0,0.0492,0.48,123.009,618.0,155.0,j-dance
Golpe Baixo,204,37,Fabio Brazza;Vulto;Vitin,Golpe Baixo,0.488,0.589,5,-8.809,0.11,0.49,0.0,0.281,0.764,83.103,275.0,69.0,brazil
Golden Time,224,39,Yui Horie,ワールドエンドの庭,0.636,0.898,7,-3.926,0.0483,0.0111,0.0,0.149,0.671,140.985,517.0,129.0,j-idol
Lightwave,316,4,Technimatic,Liquicity Festival 2022,0.472,0.89,7,-5.237,0.0482,0.00026,0.842,0.168,0.119,174.021,898.0,224.0,industrial
Hit You Wit It - KMFX Remix,217,11,Curtis B;Agent K;Keith Mackenzie;DJ Fixx,Hit You Wit It,0.663,0.955,7,-3.944,0.0517,0.00172,0.3,0.122,0.663,129.979,472.0,118.0,breakbeat
テレフォニズム (Night Tempo Melting Groove Mix),258,25,Philosophy no Dance;Night Tempo,ダブル・スタンダード (Deluxe Edition),0.715,0.804,5,-7.006,0.0301,0.149,0.104,0.0954,0.815,109.997,470.0,117.0,j-idol
如果沒有你,287,55,Karen Mok,如果沒有你,0.507,0.281,11,-11.657,0.0307,0.758,0.0,0.211,0.264,125.893,594.0,149.0,mandopop
Chancre Sore,155,28,Mushroomhead,Superbuick,0.491,0.972,2,-6.926,0.0799,0.00776,0.858,0.229,0.575,87.43,225.0,56.0,industrial
You Better Be Burning,232,3,Trivax,Sin,0.227,0.986,1,-5.605,0.0897,4.32e-06,0.821,0.283,0.199,94.809,461.0,116.0,iranian
"Hoye Ishq Na (From ""Tadap"")",279,41,Pritam;B Praak;Dino James,"Hoye Ishq Na (From ""Tadap"")",0.548,0.553,2,-9.714,0.122,0.0996,4.34e-06,0.0713,0.137,85.231,390.0,98.0,indian
Dead Knot,237,54,cehryl,Dead Knot,0.607,0.581,1,-8.182,0.0284,0.024,0.0026,0.128,0.348,94.493,370.0,92.0,study
Favela Vive 2,422,0,ADL;BK;MV Bill;Funkero,Favela Vive 2,0.713,0.568,10,-4.08,0.128,0.0545,8.15e-06,0.178,0.668,105.694,729.0,184.0,brazil
Freezing Moon,383,58,Mayhem,De Mysteriis Dom Sathanas,0.168,0.974,4,-9.116,0.112,3.05e-05,0.641,0.0752,0.0943,93.424,685.0,174.0,black-metal
制服,215,25,Seiko Matsuda,赤いスイートピー,0.804,0.718,0,-7.077,0.0336,0.287,4.9e-06,0.0939,0.736,122.501,427.0,106.0,j-idol
Second Scepe,443,0,Autechre,Anvil Vapre,0.833,0.97,8,-10.688,0.0665,0.0956,0.933,0.317,0.278,130.03,933.0,235.0,idm
Mood,130,1,Jay Groovi,Mood,0.597,0.491,2,-8.712,0.0438,0.899,0.919,0.103,0.398,83.003,174.0,42.0,study
El Vampiro,135,11,Rob Zombie,The Munsters (Original Motion Picture Soundtrack),0.492,0.779,10,-8.361,0.0275,6.34e-05,0.593,0.216,0.828,150.0,334.0,82.0,industrial
Syphone,96,37,Dino P,Syphone,0.706,0.425,7,-14.386,0.0978,0.0549,0.975,0.159,0.324,80.002,125.0,30.0,study
Wish I Had My Time Again,152,23,Uncle Earl,"Waterloo, Tennessee",0.522,0.685,9,-6.041,0.032,0.84,0.912,0.22,0.966,140.201,338.0,84.0,bluegrass
Brown Wind and Fire,181,35,Brownout,Homenage,0.594,0.614,0,-10.175,0.0553,0.00298,0.712,0.0739,0.825,159.94,475.0,119.0,afrobeat
Back At The Boathouse,171,38,Breakestra,Dusk Till Dawn,0.763,0.925,11,-3.819,0.0406,0.0533,0.893,0.102,0.761,98.51,279.0,69.0,afrobeat
Nené,207,27,Cepeda,Nené,0.489,0.82,9,-4.499,0.0601,0.0102,0.0,0.165,0.464,170.027,579.0,146.0,spanish
Kpuu Kpa Challenge (Boga Dance Edition),111,38,DJ Flex;Shatta Wale;Uk Boga,Kpuu Kpa Challenge (Boga Dance Edition),0.843,0.896,11,-3.261,0.0712,0.104,0.371,0.0791,0.865,137.966,255.0,64.0,techno
A la Vibora de la Mar,208,32,Tatiana,¡Brinca!,0.693,0.763,0,-8.5,0.0396,0.0053,0.0144,0.0949,0.379,132.662,450.0,112.0,disney
Long Hot Summer Days,288,32,John Hartford,Mark Twang,0.591,0.177,9,-17.299,0.0811,0.926,0.00106,0.294,0.522,70.959,341.0,86.0,bluegrass
Within Thrall,337,20,Leviathan,Scar Sighted,0.181,0.942,10,-7.231,0.0982,7.48e-06,0.714,0.112,0.133,152.13,854.0,214.0,black-metal
Pat-a-Cake Pat-a-Cake,67,40,The Kiboomers,Top 30 Baby Songs,0.854,0.4,10,-6.511,0.042,0.646,3.12e-05,0.0768,0.854,84.904,93.0,23.0,disney
Campana,157,9,Anenon,Tongue,0.226,0.136,0,-14.031,0.0403,0.847,0.0865,0.0908,0.0432,137.796,307.0,101.0,idm
Amour,290,55,Rammstein,"Reise, Reise",0.64,0.529,5,-7.18,0.0275,0.0053,0.0919,0.12,0.259,104.023,497.0,124.0,industrial
Desejos do Mar,220,44,Armandinho,Volume 5,0.603,0.63,4,-7.754,0.0323,0.00343,0.0,0.139,0.927,141.934,513.0,126.0,brazil
Tumse Bhi Zyada - Lofi,204,0,Emrose Percussion,Tumse Bhi Zyada (Lofi),0.533,0.588,2,-1.121,0.0279,0.433,0.0,0.0946,0.147,85.097,284.0,70.0,indian
Soul Saxes Meeting,178,22,Manu Dibango,African Voodoo,0.636,0.826,3,-7.486,0.0585,0.461,0.271,0.141,0.731,102.809,304.0,76.0,afrobeat
Marieva,211,39,Projota,Tempestade Numa Gota D'Água,0.713,0.587,7,-6.626,0.0368,0.201,0.0,0.108,0.604,85.969,301.0,75.0,brazil
Got a Love for You,309,0,Jomanda,90s Dance Anthems,0.833,0.604,8,-12.002,0.055,0.0103,0.000446,0.052,0.97,120.313,615.0,154.0,chicago-house
Run Wild.,240,51,for KING & COUNTRY;Andy Mineo,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),0.59,0.837,7,-5.204,0.0921,0.217,1.66e-05,0.107,0.356,130.043,506.0,126.0,mandopop
Machines of the Subconscious,176,0,The Future Sound Of London,Environment Five,0.755,0.41,8,-16.203,0.0399,0.211,0.841,0.124,0.505,148.026,433.0,107.0,breakbeat
Ballada 07,216,23,Grzegorz Markowski,Polska Nostalgia 60+ Cz.3,0.498,0.479,5,-7.251,0.0251,0.629,0.000884,0.229,0.281,109.092,388.0,97.0,disney
Lágrimas e chuva,273,2,Kid Abelha,Só as Melhores do Pop Rock Brasileiro,0.706,0.8,9,-9.421,0.0516,0.0332,0.037,0.0488,0.725,122.396,548.0,137.0,brazil
Halloween Dress Up,185,15,CoComelon,Halloween Party,0.891,0.281,0,-10.173,0.0564,0.514,0.0,0.0918,0.849,134.953,401.0,100.0,disney
Union of Cursed Blood,226,0,Garhelenth,Union of Cursed Blood,0.376,0.987,11,-5.468,0.0709,1.16e-05,0.124,0.0684,0.229,140.085,514.0,129.0,iranian
Ami Je Tomar Tandav,143,44,Pritam;Arijit Singh,Bhool Bhulaiyaa 2,0.301,0.479,8,-10.505,0.0559,0.501,0.0,0.0818,0.363,77.356,221.0,55.0,indian
Levitation Hoax,329,12,Conan,Levitation Hoax,0.202,0.837,2,-8.207,0.0446,1.75e-05,0.653,0.23,0.38,122.309,668.0,168.0,black-metal
Cuban Link,140,7,Timothy Infinite,Cuban Link,0.804,0.676,8,-4.639,0.0752,0.0047,0.71,0.067,0.611,127.982,287.0,71.0,study
Don't Forget to Wave When You Travel Through Time,207,31,Blackburri,Don't Forget to Wave When You Travel Through Time,0.402,0.286,9,-13.671,0.053,0.887,0.897,0.13,0.185,75.989,353.0,88.0,study
C.M.E.,358,18,Bölzer,Aura,0.164,0.949,1,-11.465,0.0709,2.64e-06,0.62,0.22,0.0584,138.396,816.0,206.0,black-metal
Timebomb Zone,204,15,The Prodigy,No Tourists,0.524,0.898,7,-6.543,0.0409,0.000328,0.796,0.102,0.229,130.016,440.0,109.0,breakbeat
Nap Time,131,36,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,0.472,0.114,0,-16.446,0.0522,0.992,0.936,0.0897,0.177,130.472,270.0,67.0,sleep
Orihime,164,31,WEDNESDAY CAMPANELLA,Neon,0.789,0.912,6,-4.458,0.0665,0.0907,3.64e-05,0.329,0.672,123.028,332.0,83.0,j-dance
Acenda o farol,192,0,Tim Maia,Chill in Brazil,0.574,0.883,9,-6.686,0.136,0.0606,0.0,0.0524,0.692,123.095,389.0,97.0,brazil
7 Minutes of Funk,424,13,Glenn Underground,Silent,0.769,0.64,9,-12.873,0.0566,0.00229,0.766,0.059,0.81,122.011,853.0,215.0,chicago-house
La berceuse d'Ahtohallan - Instrumental,127,18,Kristen Anderson-Lopez;Robert Lopez,La Reine des Neiges 2 (Bande Originale Française du Film/Deluxe Edition),0.185,0.18,5,-16.276,0.0376,0.837,0.743,0.0891,0.0403,79.236,156.0,38.0,disney
flat white,114,15,Wibke Komi,flat white,0.691,0.435,1,-9.505,0.0946,0.335,0.944,0.135,0.403,79.918,151.0,37.0,study
Rats in the Infirmary,210,23,CKY,Carver City,0.431,0.988,7,-3.761,0.0932,0.000107,0.0,0.0634,0.153,101.996,352.0,87.0,industrial
Mozart On Crack - Original Mix,332,18,S3RL,Hardcore Energy 2,0.45,0.872,4,-5.054,0.0698,2.9e-05,0.861,0.0162,0.302,175.045,957.0,240.0,happy
Ginga Ponteiro in Versão,320,19,Nomade Orquestra,Na Terra das Primaveras,0.809,0.677,11,-4.825,0.0335,0.166,0.92,0.0542,0.875,110.001,581.0,145.0,afrobeat
Lion Man,205,34,Criolo,Nó na Orelha,0.582,0.66,7,-4.988,0.0544,0.399,0.0,0.127,0.484,83.789,275.0,67.0,brazil
Outdoor Seating,137,36,Timothy Infinite,Outdoor Seating,0.602,0.362,11,-8.158,0.0859,0.549,0.756,0.186,0.231,144.07,323.0,80.0,study
Bonaparte's Retreat,122,29,Doc & Merle Watson,Then and Now,0.548,0.394,2,-11.666,0.0282,0.864,0.856,0.1,0.472,105.79,209.0,52.0,bluegrass
右向け右,203,24,Banty Foot;NEO HERO,#CCC,0.695,0.764,10,-4.634,0.11,0.407,0.0,0.0763,0.921,92.005,304.0,75.0,j-dance
Billo Rani,329,58,Pritam;Anand Raj Anand;Richa Sharma,Dhan Dhana Dhan Goal,0.71,0.845,11,-6.878,0.111,0.257,0.0,0.192,0.846,98.016,534.0,134.0,indian
言わなきゃ,237,15,PASSEPIED,ニュイ,0.48,0.879,3,-4.086,0.0353,0.0156,0.0151,0.271,0.492,142.938,554.0,136.0,j-idol
100 words,210,51,Prateek Kuhad,cold/mess,0.518,0.44,3,-14.536,0.034,0.888,0.457,0.111,0.575,76.154,259.0,64.0,indian
Papua New Guinea (Monsoon Mix),291,39,The Future Sound Of London,Accelerator Deluxe,0.586,0.777,8,-11.313,0.0475,0.00206,0.808,0.136,0.716,125.023,598.0,149.0,breakbeat
Death Grips Is Online,211,51,Death Grips,Year Of The Snitch,0.522,0.962,6,-4.814,0.0765,0.00388,0.0528,0.406,0.415,146.392,515.0,128.0,industrial
Bungaloo Punta Cometa,239,37,Plastilina Mosh,Aquamosh,0.744,0.771,6,-9.034,0.0892,0.608,0.052,0.103,0.661,149.822,591.0,147.0,afrobeat
致姗姗来迟的你,246,54,A Si;Yoga Lin,我愚蠢的理想主义,0.697,0.628,6,-7.194,0.0362,0.418,0.0,0.373,0.741,119.99,489.0,122.0,mandopop
Sanfona Sentida,168,45,Luiz Gonzaga,Capim Novo,0.491,0.611,9,-10.38,0.0391,0.45,0.000114,0.252,0.931,101.238,276.0,68.0,forro
Pause,171,51,Prateek Kuhad,Pause,0.619,0.277,11,-11.771,0.0322,0.892,0.0542,0.116,0.435,111.576,298.0,73.0,indian
The End of All Things to Come,180,23,Mudvayne,The End Of All Things To Come,0.351,0.946,2,-5.305,0.0868,0.000138,0.411,0.147,0.674,91.222,272.0,67.0,industrial
Shooting Star (Make A Wish),226,4,Matt Large,Rare Breed,0.786,0.583,1,-7.988,0.042,0.0155,0.927,0.0893,0.446,89.048,333.0,82.0,study
Samba Sambei,222,23,Criolo,Nó na Orelha,0.87,0.737,11,-8.372,0.126,0.268,0.00369,0.0504,0.952,136.07,495.0,124.0,afrobeat
Keep It Real,284,15,Frankie Knuckles;Adeva,Welcome To The Real World,0.701,0.79,0,-10.226,0.0369,0.0101,0.000237,0.142,0.851,120.506,568.0,143.0,chicago-house
Banco De Areia,174,49,Maneva;MC Hariel,Caleidoscópico,0.607,0.704,8,-6.567,0.0488,0.101,0.0,0.3,0.897,162.944,460.0,116.0,brazil
Terrible Lie,278,55,Nine Inch Nails,Pretty Hate Machine,0.61,0.605,6,-12.484,0.0419,0.000925,0.157,0.344,0.458,87.953,403.0,100.0,industrial
Life Is A Mystery - Forze DJ Team Mix Cut,143,21,Eraserhead,Happy Hardcore Top 100,0.681,0.795,7,-7.888,0.0744,0.0031,0.376,0.0732,0.357,173.558,415.0,103.0,happy
Filho do Mato (Versão Grave),166,23,Os Barões Da Pisadinha,Paredão Explode,0.716,0.723,2,-8.079,0.0475,0.0156,2.17e-06,0.119,0.634,171.947,468.0,117.0,forro
Pumpkin Patch,204,19,CoComelon,Pumpkin Patch,0.889,0.383,11,-8.738,0.0362,0.562,7.37e-05,0.143,0.767,139.979,466.0,116.0,disney
Axé!,359,14,IFÁ;Okwei V. Odili,IFÁ Afrobeat + Okwei V. Odili,0.712,0.728,9,-8.818,0.0366,0.0867,0.142,0.107,0.965,115.967,689.0,172.0,afrobeat
Cumbia Del Sol,195,18,Thee Commons,Collecion De Oro,0.606,0.914,5,-3.337,0.029,0.00457,5.36e-06,0.203,0.944,96.243,310.0,77.0,afrobeat
Lordly - Instrumental Mix,273,49,Feder,Lordly (feat. Alex Aiono) [Remix EP],0.748,0.596,10,-8.222,0.0397,0.0111,0.833,0.0506,0.472,115.006,519.0,130.0,chicago-house
无题 - 网剧《山河令》插曲,278,43,Hu Xia,网剧《山河令》音乐原声大碟,0.519,0.304,6,-11.456,0.0286,0.487,0.0,0.0821,0.43,139.868,630.0,158.0,mandopop
SOMEDAY,170,25,Eshconinco,SOMEDAY,0.802,0.622,1,-5.998,0.0713,0.0363,7.42e-06,0.448,0.245,84.0,233.0,57.0,j-dance
Llegaste Tarde,416,25,Los Amigos Invisibles,Arepa 3000,0.49,0.82,5,-7.138,0.0684,0.799,0.0558,0.131,0.854,102.572,644.0,161.0,afrobeat
Gabbers Unite - Long Mix,318,11,3 Steps Ahead,Early Rave Anthems Part 5,0.497,0.944,2,-5.403,0.0542,0.00565,0.158,0.0761,0.697,185.027,977.0,244.0,happy
Mano,252,14,Joris Voorn,Four,0.719,0.553,1,-12.137,0.0404,0.433,0.895,0.108,0.207,126.023,517.0,171.0,techno
Tantum Ergo,314,50,Irmã Kelly Patrícia;Padre Marcelo Rossi;Padre Fábio De Melo;Padre Reginaldo Manzotti;Padre Omar;Padre Juarez de Castro;Padre Gleuson Gomes,No Coração da Jornada,0.272,0.161,4,-13.479,0.0314,0.884,2.07e-05,0.12,0.221,102.972,480.0,121.0,brazil
Phir Le Aya Dil,285,56,Pritam;Rekha Bhardwaj,Barfi! (Original Motion Picture Soundtrack),0.426,0.432,0,-9.667,0.0353,0.844,8.79e-05,0.13,0.615,77.004,357.0,89.0,indian
Sincericidio,251,57,Leiva,Monstruos,0.566,0.81,0,-5.235,0.0382,0.000543,0.000397,0.0975,0.258,124.885,515.0,129.0,spanish
白いページの中に,275,20,Leola,白いページの中に / 朝が来るように,0.484,0.457,9,-5.51,0.0293,0.747,0.0,0.144,0.275,135.766,608.0,152.0,j-dance
Barbari (Part I),103,25,Franco Chillemi;Remo Girone,Pocahontas (Colonna Sonora Originale),0.506,0.538,0,-11.764,0.0619,0.805,1.09e-06,0.338,0.664,139.444,234.0,58.0,disney
Alive (Studio),227,40,Hillsong Young & Free;Alexander Pappas,We Are Young & Free,0.714,0.743,1,-3.494,0.0464,0.00168,2.81e-05,0.064,0.683,131.997,496.0,123.0,afrobeat
Cotton Candy Flavored,151,26,"Sarah, the Illstrumentalist",Golden Skin,0.674,0.543,6,-8.021,0.0299,0.16,0.91,0.084,0.757,89.992,226.0,55.0,study
332 23t422,213,0,Bogdan Raczynski,Rave 'Till You Cry,0.453,0.973,1,-4.242,0.148,0.00234,0.729,0.391,0.408,93.131,348.0,88.0,idm
Resolve,442,44,Colyn,Resolve,0.781,0.555,6,-10.598,0.0464,0.0149,0.943,0.0921,0.175,123.015,901.0,228.0,techno
Po' Prayer (Lofi Version),131,3,Justnormal,Po' Prayer (lofi version),0.673,0.375,6,-10.266,0.0334,0.425,0.915,0.0974,0.085,99.995,218.0,54.0,study
Khilte Rang,197,12,Nikhil Swaroop,Khilte Rang,0.72,0.243,11,-12.47,0.0352,0.95,0.000618,0.107,0.33,136.009,427.0,141.0,indian
Smack My Bitch Up - Noisia Remix,353,47,The Prodigy;Noisia,The Fat of the Land - Expanded Edition,0.49,0.987,5,-2.913,0.0998,0.000708,0.11,0.0749,0.322,140.01,818.0,205.0,breakbeat
Asteroid - Remastered,206,1,Killing Joke,Killing Joke - 2003,0.467,0.973,1,-3.084,0.0524,0.00021,1.65e-06,0.191,0.563,108.584,366.0,92.0,industrial
The Plague 19,221,0,Winterise,The Plague 19,0.464,0.939,4,-4.099,0.119,1.68e-05,0.0103,0.217,0.113,200.038,728.0,183.0,iranian
Samara,243,49,Forró Perfeito,Vai Doidão!,0.636,0.906,1,-4.39,0.0402,0.202,3.99e-05,0.063,0.805,191.967,778.0,194.0,forro
A Star Is Born,124,59,Cheryl Freeman;LaChanze;Vaneese Thomas;Lillias White;Roz Ryan;Disney,Hercules (Original Motion Picture Soundtrack),0.681,0.833,0,-6.248,0.0847,0.382,5.59e-06,0.391,0.725,117.54,234.0,58.0,disney
軌跡,322,57,Jay Chou,尋找周杰倫,0.445,0.476,9,-6.964,0.0268,0.21,0.000127,0.0788,0.17,75.208,403.0,101.0,mandopop
Pick Pocket,338,6,Prolix,Over You / Pick Pocket,0.489,0.984,7,-2.493,0.107,1.59e-05,0.878,0.0829,0.571,174.009,958.0,238.0,industrial
Como És Lindo - Ao Vivo,238,59,Vida Reluz,Banda Vida Reluz ao Vivo,0.267,0.232,2,-14.365,0.0301,0.712,0.0,0.538,0.103,96.158,376.0,94.0,brazil
Zouk do Rubi - Ao Vivo,200,32,Forró Real,"Zouk do Rubi, Vol. VI: Ao Vivo",0.619,0.756,0,-9.764,0.118,0.318,0.0,0.141,0.702,112.366,376.0,94.0,forro
Anjos De Deus - Ao Vivo,297,52,Padre Marcelo Rossi,Músicas Para Louvar O Senhor,0.319,0.67,4,-7.276,0.0998,0.501,0.0,0.219,0.332,137.539,674.0,169.0,brazil
Just Any Moment,154,21,Flatt Lonesome,Flatt Lonesome,0.731,0.815,10,-5.211,0.0305,0.599,3.09e-05,0.105,0.97,120.08,293.0,72.0,bluegrass
Verão Sem Calor,210,40,Iguinho e Lulinha,Simbora pra Vaquejada,0.61,0.79,7,-4.373,0.0359,0.283,0.0,0.164,0.918,152.092,528.0,132.0,forro
Matrix,383,0,Zhoobin Askarieh;Ali Sasha,Liberation,0.35,0.831,0,-9.522,0.0451,0.282,0.873,0.146,0.33,86.981,578.0,144.0,iranian
