name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
你不是第一個離開的人,200287,0,51,G.E.M.,你不是第一個離開的人,0.327,0.296,7,-7.761,0.0,0.0376,0.653,0.0,0.11,0.157,81.312,5.0,mandopop
Spieluhr,286173,0,60,Rammstein,Mutter,0.64,0.838,2,-3.555,0.0,0.0428,0.000973,0.00458,0.307,0.657,127.075,4.0,industrial
Sink Lateral,40893,0,18,Ilkae,Pistachio Island,0.678,0.401,10,-9.875,0.0,0.0555,0.971,0.947,0.105,0.919,82.614,4.0,idm
Rage,192292,1,15,Teejay;Extended Play Records,Rage,0.68,0.684,2,-6.009,1.0,0.064,0.023,0.0,0.124,0.329,100.096,4.0,j-dance
バレエと少年,221560,0,24,Keyakizaka46,真っ白なものは汚したくなる (Complete Edition),0.679,0.556,7,-4.032,0.0,0.0297,0.21,0.0,0.219,0.435,120.004,4.0,j-idol
Sad But True,481920,0,46,Boris Brejcha,FEAR,0.82,0.425,2,-10.306,1.0,0.0877,0.000694,0.906,0.112,0.307,125.001,4.0,techno
Sensei,206673,0,35,Datsik,Sensei,0.692,0.906,11,-1.39,0.0,0.128,0.00107,0.0103,0.262,0.281,150.1,4.0,breakbeat
Dirge,158029,0,21,Portrayal of Guilt,CHRISTFUCKER,0.368,0.911,1,-6.515,1.0,0.0936,0.015,0.652,0.0539,0.0565,147.733,4.0,black-metal
Meine Tränen,237045,0,62,Rammstein,Zeit,0.569,0.752,7,-5.238,1.0,0.0307,0.0186,0.000168,0.143,0.189,114.967,4.0,industrial
So Seductive,192344,0,34,Matt Large,So Seductive,0.556,0.557,11,-5.171,1.0,0.11,0.0687,0.805,0.151,0.536,191.796,4.0,study
More Like Jesus - Live,337453,0,48,Passion;Kristian Stanfill,Whole Heart (Live),0.405,0.678,10,-5.448,1.0,0.0352,0.0298,0.0,0.367,0.177,144.075,3.0,indian
太宰治を読んだか?,284720,0,21,NMB48,てっぺんとったんで! (通常盤Type-B),0.592,0.868,4,-2.438,1.0,0.0354,0.488,0.0,0.334,0.531,112.99,4.0,j-idol
Mercury - Original Mix,458931,0,40,Charlotte de Witte,Apollo EP,0.593,0.91,11,-8.001,0.0,0.0513,0.00374,0.69,0.172,0.253,135.018,4.0,techno
Blast Off (feat. Pharrell Williams),215973,0,47,Gesaffelstein;Pharrell Williams,Blast Off (feat. Pharrell Williams),0.627,0.505,6,-12.659,1.0,0.0549,0.197,0.0149,0.0583,0.146,100.005,4.0,techno
Kodomotachi,246706,0,39,Susumu Yokota,Sakura,0.688,0.589,1,-9.653,0.0,0.0315,0.956,0.911,0.114,0.387,118.001,4.0,idm
Pretty from Morning,225751,1,19,Vybz Kartel,Flammable Riddim,0.646,0.664,2,-7.208,1.0,0.122,0.133,0.0,0.306,0.796,132.623,5.0,j-dance
抱きしめてアンセム,267959,0,23,Team Syachihoko,ひまつぶし,0.51,0.964,0,-1.376,0.0,0.109,0.0109,7.81e-05,0.307,0.468,193.067,4.0,j-idol
Yerberito,298293,0,15,Manu Dibango;Cuarteto Patria,Cubafrica,0.697,0.723,8,-6.606,1.0,0.0303,0.198,0.00058,0.0807,0.895,124.604,4.0,afrobeat
Tum Mile - Lofi Flip,242103,0,69,KSW;Neeraj Shridhar;Pritam,Tum Mile (Lofi Flip),0.711,0.579,0,-11.059,1.0,0.0363,0.218,0.053,0.32,0.21,114.96,4.0,indian
Te Amo Baby,210000,0,36,Danieze Santiago,Te Amo Baby,0.703,0.667,5,-4.577,1.0,0.0269,0.724,0.0,0.151,0.382,115.007,4.0,forro
"Something There - From ""Beauty and the Beast""/Soundtrack Version",138986,0,53,Robby Benson;Jerry Orbach;Paige O'Hara;Angela Lansbury;David Ogden Stiers;Disney,Beauty and the Beast,0.588,0.325,1,-10.926,1.0,0.0374,0.836,1.16e-06,0.127,0.569,126.127,4.0,disney
Raised On Rock,209333,1,18,Darkthrone,F.O.A.D,0.193,0.981,9,-3.383,1.0,0.12,0.411,0.00172,0.0721,0.128,142.771,4.0,black-metal
One Thing Remains - Radio Version,239628,0,51,Passion;Kristian Stanfill,Passion Collection,0.425,0.728,11,-4.492,1.0,0.0286,0.00468,2.62e-06,0.172,0.164,147.986,4.0,afrobeat
The Beautiful People,222773,1,0,Marilyn Manson,Halloween Metal Nights,0.609,0.948,9,-4.938,1.0,0.113,0.00404,0.0978,0.042,0.786,144.037,4.0,industrial
I Need More Of You,216453,0,45,DJ Ötzi;The Bellamy Brothers,Simply The Best,0.636,0.881,7,-6.112,1.0,0.0272,0.0289,0.000169,0.312,0.911,119.986,4.0,happy
終雪は灰となりて,276293,0,21,ELFENSJóN,ASH OF ROUGE SIDE ELISIA,0.505,0.897,8,-2.627,1.0,0.0385,0.00105,0.0,0.14,0.571,121.05,4.0,j-idol
Dooms Day,227056,0,8,Arsames,Immortal Identity,0.456,0.992,7,-3.817,0.0,0.139,7.98e-06,0.695,0.333,0.416,165.012,4.0,iranian
Made Me Glad,300386,0,43,Hillsong Worship,Ultimate Worship Vol 1,0.341,0.748,10,-5.559,1.0,0.0334,0.047,0.000529,0.396,0.326,161.714,4.0,forro
La Nuit - Mixed,119955,0,41,Bochum Welt,DJ-Kicks (DJ Tennis) [DJ Mix],0.501,0.206,9,-19.648,0.0,0.034,0.675,0.0028,0.114,0.0517,122.974,4.0,idm
Kurbaan Hua,259360,0,52,Salim–Sulaiman;Vishal Dadlani,Kurbaan (Original Motion Picture Soundtrack),0.54,0.718,2,-6.169,0.0,0.0429,0.022,0.000119,0.248,0.526,166.003,4.0,indian
It's a Biz (Ain't Nobody) - Extended,340673,0,18,Scooter,It's a Biz (Ain't Nobody),0.685,0.85,6,-4.303,0.0,0.141,0.000208,2.05e-05,0.0493,0.618,129.997,4.0,techno
No Grave Deep Enough,430800,0,22,Primordial,Redemption at the Puritan's Hand,0.327,0.944,2,-7.274,1.0,0.0591,0.000567,0.00395,0.0719,0.167,122.999,4.0,black-metal
"Stay Free, I'm Not Free.",245039,0,6,Ryoma Maeda,FANTASTIC SUICIDE,0.33,0.911,2,-4.501,1.0,0.067,1.08e-05,0.225,0.145,0.276,135.141,4.0,idm
Philophobia,444316,0,37,Hozho,Yin Yang,0.801,0.471,0,-11.041,1.0,0.0714,0.00574,0.772,0.162,0.231,127.01,4.0,techno
Qué Bonito,217516,0,57,Soraya,Qué Bonito,0.716,0.737,7,-6.076,1.0,0.06,0.118,0.0,0.198,0.585,95.009,4.0,spanish
女は一人じゃ眠れない,241626,0,27,Nogizaka46,逃げ水 (Special Edition),0.477,0.914,1,-2.705,0.0,0.0512,0.0604,0.0,0.0347,0.632,156.949,4.0,j-idol
Quando a Saudade Bater - Ao Vivo,152351,0,31,Os Barões Da Pisadinha,Da Roça Pra Cidade (Ao Vivo),0.638,0.903,9,-2.785,1.0,0.0556,0.364,0.0,0.0476,0.963,167.974,4.0,forro
Got That Booty - Original Mix,198746,0,22,DJ Fixx;Keith Mackenzie,Got That Booty,0.768,0.92,1,-6.656,0.0,0.0442,0.00611,0.592,0.0498,0.834,127.97,4.0,breakbeat
Rebirth,400172,0,50,Teenage Mutants,Rebirth,0.778,0.893,11,-5.257,1.0,0.0635,0.00667,0.792,0.096,0.34,130.996,4.0,techno
Qué Bien Se Siente,186491,0,31,Cyclo,Qué Bien Se Siente,0.637,0.712,6,-5.116,1.0,0.135,0.323,2.69e-06,0.337,0.84,171.993,4.0,spanish
Sleep Walk,194399,0,0,Kraff Gad,Sleep Walk,0.865,0.595,1,-8.136,1.0,0.0813,0.0954,2.47e-05,0.0996,0.177,100.0,4.0,j-dance
Ballad of Thunder Road,156600,0,30,Jim & Jesse,Y'all Come: The Essential Jim & Jesse,0.654,0.551,5,-10.2,1.0,0.0325,0.579,0.0,0.812,0.965,138.15,4.0,bluegrass
さよなら、アリス(version2016),288360,0,26,Flower,THIS IS Flower THIS IS BEST,0.612,0.76,4,-3.482,0.0,0.0396,0.441,0.0,0.104,0.387,117.018,4.0,j-idol
helluva,159000,0,30,Oscar Hollis,helluva & hummingbird,0.573,0.316,0,-22.426,1.0,0.246,0.863,0.904,0.112,0.425,160.162,4.0,study
Raw To The Floor - Originall Mix,278470,0,16,Deekline,"Welcome To The Jungle: Sampler, Vol. 2",0.476,0.976,1,-2.545,1.0,0.0435,0.00269,0.0146,0.297,0.248,84.993,4.0,breakbeat
Carry You,371733,0,23,VNV Nation,Judgement,0.514,0.81,7,-7.699,0.0,0.0452,0.00146,0.0589,0.215,0.289,132.012,4.0,industrial
Singularity,421306,0,51,Stephan Bodzin,Powers of Ten,0.752,0.486,10,-12.53,0.0,0.0493,0.0479,0.877,0.0926,0.0379,121.0,4.0,techno
Heyday,188773,0,25,Lonesome River Band,Heyday,0.693,0.475,4,-7.977,1.0,0.0277,0.715,0.0,0.272,0.777,138.945,4.0,bluegrass
I And Love And You,300840,0,62,The Avett Brothers,I And Love And You,0.424,0.264,2,-9.984,1.0,0.0298,0.831,7.08e-05,0.0763,0.169,139.593,4.0,bluegrass
Might as Well,164995,0,26,The Lil Smokies,Changing Shades,0.575,0.526,9,-8.852,1.0,0.0336,0.533,0.00153,0.0841,0.911,118.668,4.0,bluegrass
Trece (Versión Jazz),339780,0,31,Rafael Lechowski,Donde Duele Inspira (Versión Jazz),0.438,0.434,0,-8.39,1.0,0.0511,0.182,0.000769,0.246,0.395,182.192,3.0,spanish
Household Vacuum - Loopable with no fade,67217,0,17,White Noise Therapy;Vacuum Cleaner White Noise;Lullaby Land;Baby Can't Sleep;Calm Children Collection;White Noise Sleep Sounds,"Vacuums for Rest and Relaxation (Loopable Audio for Insomnia, Meditation, and Restless Children)",0.134,0.687,6,-6.269,1.0,0.069,0.902,0.794,0.269,0.0173,72.667,4.0,sleep
The Gold Rush,166027,0,24,Punch Brothers,Hell on Church Street,0.427,0.237,2,-16.909,1.0,0.0356,0.913,0.601,0.122,0.235,96.201,3.0,bluegrass
Cidadão,230733,0,34,Zé Ramalho,Frevoador (Versão com Faixas Bônus),0.488,0.762,4,-9.237,1.0,0.11,0.193,0.0,0.202,0.707,113.881,4.0,brazil
By Myself,88000,0,5,arai tasuku,Fantasmagorie The Ghost Show -Original Soundtrack-,0.487,0.293,4,-15.577,0.0,0.165,0.983,0.00676,0.13,0.691,147.531,3.0,idm
Simulating the New World,345000,0,0,XERXES THE DARK,The Rise Of A.I.,0.668,0.512,2,-8.819,1.0,0.0305,0.131,0.924,0.0873,0.0387,112.002,4.0,iranian
Boulmamine,355933,0,19,Orchestra Baobab,Bamba,0.649,0.618,9,-11.815,0.0,0.0418,0.737,0.163,0.098,0.752,139.307,4.0,afrobeat
A Declaration of Love,334433,0,37,Stephan Jolk,Unity Pt. 2,0.66,0.676,7,-10.05,0.0,0.0343,0.0124,0.877,0.0886,0.0883,126.0,4.0,techno
La Llamada,240205,0,56,Leiva,La Llamada,0.623,0.488,2,-8.246,1.0,0.029,0.5,0.000211,0.131,0.169,114.019,4.0,spanish
Through The Gates,95106,0,33,Celldweller,Soundtrack For The Voices In My Head Vol. 01,0.43,0.728,10,-8.601,1.0,0.0365,0.000242,0.895,0.0909,0.263,134.941,4.0,industrial
Search & Destroy,206253,0,24,KMFDM,Nihil,0.439,0.989,11,-3.493,0.0,0.0478,1.45e-06,0.874,0.0771,0.618,126.895,4.0,industrial
Let It Go - Instrumental Karaoke,226200,0,40,Kristen Anderson-Lopez;Robert Lopez,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),0.605,0.389,5,-11.815,0.0,0.0292,0.662,0.934,0.142,0.11,136.994,4.0,disney
Noise (feat. Donnis) - Rise At Night Remix,348895,0,12,Bassnectar;Donnis;Rise At Night,NVSB Remixes,0.514,0.8,1,-3.66,1.0,0.0605,0.00114,0.000449,0.0396,0.356,127.909,4.0,breakbeat
Freakshow,351085,0,25,S3RL,Old Skool Masters - S3RL,0.576,0.983,1,-8.444,1.0,0.0991,0.00123,0.0944,0.557,0.244,174.966,4.0,happy
Un Beso Y Una Flor,268946,0,0,Nino Bravo,Retro Baladas,0.308,0.787,9,-3.867,1.0,0.035,0.449,0.0,0.0372,0.449,83.996,4.0,spanish
Transport,132744,0,31,White Noise Baby Sleep,"! !""#Reboot#""! !",0.161,0.962,10,-21.869,0.0,0.0819,0.726,0.49,0.202,0.00655,129.087,1.0,sleep
Dancin (feat. Luvli) - DJ PP Remix,388149,0,11,Aaron Smith;DJ PP;Luvli,Coachella Underground 2014,0.828,0.694,8,-11.309,0.0,0.0413,0.00216,0.877,0.0497,0.237,125.001,4.0,chicago-house
Gewitter: Regen Auf Dem Dach,190976,0,32,Regen zum Schlafen,Gewitter Und Regen,0.284,0.961,11,-19.18,0.0,0.0958,0.217,0.874,0.448,0.0307,66.91,4.0,sleep
Likbør,492434,0,17,Windir,Soknardalr,0.12,0.891,0,-7.428,0.0,0.0752,0.000928,0.953,0.355,0.158,149.26,4.0,black-metal
Snowstorm over Narvik,179600,0,18,Division Speed,Division Speed,0.161,0.927,7,-6.795,1.0,0.0819,7.38e-05,0.539,0.524,0.0838,110.35,5.0,black-metal
富士山下,259133,0,61,Eason Chan,What's Going On...?,0.475,0.44,5,-10.48,1.0,0.0354,0.499,0.0,0.25,0.528,103.371,4.0,mandopop
W.W.D,345273,0,20,Dempagumi.Inc,WWDBEST ~電波良好!~,0.591,0.957,5,-2.015,1.0,0.0999,0.345,0.0,0.391,0.586,94.989,4.0,j-idol
Electric Disco,348978,0,16,Plump DJs,Plumpy Chunks,0.75,0.765,1,-6.777,1.0,0.0542,0.0012,0.779,0.128,0.456,130.066,4.0,breakbeat
The Dope Show,226733,1,62,Marilyn Manson,Mechanical Animals,0.562,0.671,4,-7.801,0.0,0.0379,8.73e-06,0.000491,0.792,0.376,134.962,4.0,industrial
Porque Não Vê,260266,0,47,Limão Com Mel,E Tome Amor,0.557,0.719,7,-5.102,1.0,0.0451,0.288,1.2e-06,0.23,0.387,80.0,4.0,forro
Jah Love We,247065,1,0,Vybz Kartel;Christopher Birch,"Producers Choice, Vol.3 (Feat. Christopher Birch)",0.591,0.731,9,-3.62,1.0,0.0463,0.0173,0.0,0.212,0.522,94.048,4.0,j-dance
Girls Dem Sugar (Remix),257226,0,27,Beenie Man;Mýa,Reggae Gold 25th Anniversary: '90s Rewind,0.591,0.769,2,-5.239,1.0,0.15,0.049,0.0,0.369,0.723,124.007,5.0,j-dance
Me Dá um Beijo - Ao Vivo,211973,0,47,Dorgival Dantas,Simplesmente Dorgival Dantas (Ao Vivo),0.556,0.941,9,-3.749,1.0,0.0636,0.45,3.08e-05,0.805,0.685,174.798,4.0,forro
Gift,227877,1,23,HELLYEAH,Blood For Blood,0.254,0.986,1,-2.791,1.0,0.182,8.52e-06,3.18e-06,0.221,0.339,115.211,1.0,industrial
夢ノカケラ・・・,249626,0,31,ZONE,E 〜Complete A side Singles〜,0.586,0.65,6,-6.688,1.0,0.0294,0.234,0.0,0.0955,0.492,118.15,4.0,j-idol
Dhalti Rahe,287000,0,51,Twin Strings,Dhalti Rahe - Single,0.65,0.327,10,-11.441,1.0,0.0324,0.725,0.000302,0.0824,0.196,140.047,3.0,indian
Alter Ego,221933,0,14,Ryuji Imaichi,LIGHT>DARKNESS,0.391,0.713,8,-7.658,1.0,0.214,0.785,6.89e-06,0.157,0.188,104.959,4.0,j-dance
Uncle Pen - Single Version,163866,0,26,Bill Monroe & His Blue Grass Boys,Anthology,0.587,0.437,9,-12.422,1.0,0.0452,0.555,0.00185,0.244,0.743,110.586,4.0,bluegrass
Here I Am,319080,0,17,Ham;Demo;Justin Time;Becks,Here I Am,0.466,0.913,9,-10.806,1.0,0.0569,0.0339,0.932,0.139,0.175,171.833,4.0,happy
嫁妝,253986,0,26,陳中;邱芸子,陳中+邱芸子情歌對唱,0.561,0.517,3,-7.13,1.0,0.0282,0.119,1.64e-05,0.0858,0.227,135.891,4.0,mandopop
悪口たち,153360,0,37,My Hair is Bad,時代をあつめて,0.669,0.888,10,-3.798,1.0,0.0502,0.0116,0.0,0.247,0.842,137.861,4.0,j-dance
Calling The People,327163,0,20,Aphrodite;A-Zone,Aphro Classics 4,0.714,0.98,6,-2.127,1.0,0.0595,0.00692,0.818,0.0414,0.883,158.463,4.0,breakbeat
What Comes Around - Spanish Version,226240,0,24,Ill Niño,Revolution Revolucion [Special Edition],0.503,0.947,1,-4.687,1.0,0.0966,0.00035,0.00124,0.102,0.156,112.204,4.0,industrial
Vinte E Nove,223933,0,49,Legião Urbana,O Descobrimento Do Brasil,0.42,0.542,7,-13.097,1.0,0.036,0.02,0.0471,0.185,0.72,129.726,5.0,brazil
"Hello, Beautiful",76666,0,23,Nostalgique,"Hello, Beautiful",0.731,0.557,10,-8.243,1.0,0.0578,0.297,0.77,0.0804,0.845,179.878,4.0,study
Sau Tarah Ke,238994,0,62,Pritam;Jonita Gandhi;Amit Mishra,Dishoom,0.702,0.773,11,-4.79,1.0,0.0618,0.0469,0.0,0.171,0.719,133.888,4.0,indian
"We Hide & Seek - Live From The Louisville Palace, Kentucky / 2002",341053,0,24,Alison Krauss & Union Station,Live,0.362,0.761,7,-8.384,1.0,0.0362,0.356,0.113,0.683,0.398,135.318,4.0,bluegrass
Take My Time,300973,0,20,Breakestra;Choklate,Stand up,0.641,0.884,7,-5.472,1.0,0.0602,0.0567,0.0,0.0219,0.883,104.962,4.0,afrobeat
Kentucky Waltz,160133,0,29,The Osborne Brothers,Bluegrass Collection,0.545,0.326,5,-10.228,1.0,0.0283,0.74,0.000147,0.278,0.364,95.282,3.0,bluegrass
水色の朝,237733,0,24,Seiko Matsuda,Pineapple,0.581,0.398,8,-8.617,1.0,0.0276,0.904,0.000766,0.15,0.358,139.184,4.0,j-idol
Stop That Train,336933,0,2,Ernest Ranglin,Best Afrodance Tunes,0.766,0.375,5,-13.456,1.0,0.0763,0.297,0.862,0.128,0.62,81.626,4.0,afrobeat
Main Toh Chala,198000,0,40,Vismay Patel,Main Toh Chala,0.596,0.259,1,-12.273,0.0,0.11,0.626,2.42e-05,0.053,0.438,94.736,4.0,indian
Hot Music,305825,0,18,Pal Joey,Pal Joey Presents Hot Music,0.682,0.935,10,-6.861,0.0,0.0627,0.00533,0.672,0.241,0.302,112.059,4.0,chicago-house
"Herbei, o ihr Gläubigen",197400,0,0,Traditional;Friedrich Oberschelp;Christfried Bickenbach;Gerhard Bunk;Der Bielefelder Kinderchor,Alle Jahre wieder: Weihnachten mit Kindern,0.325,0.107,10,-17.44,1.0,0.0389,0.983,0.0,0.1,0.346,109.271,4.0,sleep
Pachamama,158066,0,29,BaianaSystem;Claudia Manzo,Oxeaxeexu,0.75,0.855,4,-4.441,0.0,0.0436,0.0789,0.00157,0.0851,0.879,150.03,3.0,afrobeat
Mientras la Música No Pare,243560,0,28,Linda Mirada,Con Mi Tiempo y el Progreso,0.612,0.764,0,-4.947,1.0,0.0302,0.0694,0.00446,0.104,0.748,130.038,4.0,spanish
JET!!!,296293,0,39,DREAMS COME TRUE,THE LOVE ROCKS,0.787,0.812,2,-5.027,1.0,0.038,0.0122,0.0,0.0768,0.529,119.625,4.0,j-idol
Wâldpyk,176111,0,23,De Doelleazen;Sjoerd Ensa & Emiel,Gek Yne Kop,0.722,0.922,9,-7.239,1.0,0.136,0.0137,1.24e-05,0.328,0.863,162.998,4.0,happy
Piggy,291426,0,29,Nine Inch Nails,Live: And All That Could Have Been,0.643,0.87,2,-4.008,1.0,0.033,0.144,0.0304,0.748,0.344,131.941,4.0,industrial
XTC - Radio Edit,168720,1,46,Dj Mad Dog,Till I Die Vol.1,0.551,0.966,7,-2.559,1.0,0.141,0.00453,0.000685,0.102,0.0538,174.058,4.0,happy
Domino - Rework,459730,0,44,Oxia,Domino Remixes,0.804,0.718,1,-10.268,0.0,0.062,0.00399,0.949,0.239,0.132,126.005,4.0,techno
Waiting for the Fall,226773,0,0,Ashbury Heights,The Victorian Wallflowers,0.514,0.877,11,-4.407,1.0,0.0408,0.00234,0.0,0.127,0.766,140.009,4.0,industrial
プリズム,238666,0,47,AmPm;みゆな,プリズム,0.63,0.538,6,-7.059,1.0,0.0318,0.0871,0.0,0.0952,0.238,98.012,4.0,j-dance
Ovals,183169,0,7,Luke Abbott,Modern Driveway,0.423,0.206,2,-23.209,0.0,0.0345,0.936,0.947,0.1,0.0369,95.805,3.0,idm
jossy mate,144000,0,4,hope mona,jossy mate,0.744,0.283,2,-13.606,1.0,0.0867,0.956,0.914,0.102,0.172,160.047,3.0,study
Åpne øynene,196213,0,15,Germaine Franco,Encanto (Originalt Norsk Soundtrack),0.236,0.108,0,-16.376,0.0,0.0369,0.861,0.934,0.127,0.0631,119.983,3.0,disney
Diabulus In Música,284200,0,34,Mägo de Oz,Gaia II,0.549,0.869,7,-3.741,0.0,0.0372,0.0028,1.72e-06,0.129,0.622,130.112,4.0,spanish
Sara's Mask,301280,0,30,CKY,"Camp Kill Yourself, Vol.1",0.375,0.492,7,-10.477,1.0,0.03,0.0414,0.0,0.329,0.161,112.822,4.0,industrial
へでもねーよ - LASA edit,188946,0,55,Fujii Kaze,LOVE ALL SERVE ALL,0.506,0.861,0,-5.899,1.0,0.15,0.0615,1.89e-05,0.387,0.647,175.966,4.0,j-dance
"Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack",176360,0,56,Alison Krauss,A Hundred Miles Or More: A Collection,0.542,0.215,4,-11.795,1.0,0.0736,0.948,0.0,0.301,0.601,131.976,4.0,bluegrass
Swalla (feat. Nicki Minaj & Ty Dolla $ign),216408,1,77,Jason Derulo;Nicki Minaj;Ty Dolla $ign,Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.696,0.817,1,-3.862,1.0,0.109,0.075,0.0,0.187,0.782,98.064,4.0,breakbeat
Shoelaces,185453,0,31,Teeny Tiny Stevies,Helpful Songs for Little People,0.755,0.559,0,-7.632,1.0,0.0413,0.71,0.0,0.0709,0.936,148.953,4.0,disney
Chellakuttiye (Avastha Love Song),225585,0,13,Jecin George;Pearle Maaney;Srinish Aravind,Chellakuttiye (Avastha Love Song),0.436,0.544,3,-7.268,0.0,0.0451,0.543,0.00489,0.17,0.313,169.955,4.0,indian
Babel's Tower,494060,0,20,Primordial,Where Greater Men Have Fallen,0.235,0.945,11,-4.349,1.0,0.0967,0.000325,0.0559,0.162,0.214,121.99,4.0,black-metal
Creamer,137807,0,19,Timothy Infinite,Crunchy,0.864,0.351,1,-7.731,0.0,0.209,0.639,0.656,0.108,0.459,130.017,4.0,study
Pray For A Star,234853,0,16,Felix Da Housecat,Kittenz And Thee Glitz,0.606,0.486,10,-10.198,0.0,0.027,0.0318,0.0401,0.0916,0.484,138.005,4.0,chicago-house
We Don't Talk About Bruno - Reprise,86209,0,11,Little Piano Player,Encanto,0.68,0.0721,0,-25.957,0.0,0.0511,0.986,0.944,0.145,0.366,171.948,1.0,disney
Soon Come,185359,0,54,SHY FX;Liam Bailey,Soon Come,0.812,0.666,0,-6.878,1.0,0.131,0.419,0.103,0.236,0.795,79.968,4.0,industrial
Be Ghedmate Estesmare Fard Az Fard,60107,0,0,Najand,Spectre of Revolution,0.258,0.643,11,-6.352,0.0,0.0491,0.00352,0.571,0.565,0.192,104.384,4.0,iranian
猛烈宇宙交響曲・第七楽章「無限の愛」 -ZZ ver.-,309879,0,27,Momoiro Clover Z,ZZ's Ⅱ,0.345,0.956,5,-1.833,0.0,0.126,0.0641,0.124,0.335,0.282,174.038,4.0,j-idol
Bassheads,318893,0,1,Cut La Roc,La Roc Rocs,0.644,0.807,10,-12.939,0.0,0.057,0.0631,0.827,0.242,0.915,126.888,4.0,breakbeat
Empathy,260571,0,43,Bassnectar,Vava Voom,0.382,0.976,11,-2.909,1.0,0.0729,1.28e-05,0.556,0.109,0.337,140.014,4.0,breakbeat
