name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,features_duration_ms,time_signature,n_beats,n_bars,popularity_confidence,processing,genre
ヴァージニティー,252946,False,27,NMB48,ヴァージニティー (劇場盤),0.457,0.957,2,-2.021,,0.0449,0.181,4.3e-05,0.218,0.678,164.892,252947,,677.0,171.0,0.24,3.70048309178744,j-idol
La Fuerza,250909,False,0,La Bien Querida;Los Planetas,El Que Sabem (Original Motion Picture Soundtrack),0.582,0.854,7,-7.594,1.0,0.0442,0.133,0.174,0.113,0.535,99.029,250909,3.0,403.0,133.0,0.28,4.067085953878407,spanish
Graceland,217333,False,20,Plastilina Mosh,Juan Manuel,0.627,0.856,0,-8.674,0.0,0.0326,0.0203,0.911,0.872,0.777,96.963,217333,4.0,351.0,88.0,0.859,3.349056603773585,afrobeat
Nuh Reason,197340,False,0,Jahvillani,Nuh Reason,0.733,0.492,6,-6.672,1.0,0.457,0.0686,0.0,0.145,0.653,186.08,197341,4.0,611.0,154.0,0.21,1.1709531013615733,j-dance
Benzin,226000,False,63,Rammstein,Rosenrot,0.527,0.947,4,-4.205,,0.0574,0.000393,0.00372,0.075,0.206,142.008,226000,4.0,529.0,133.0,0.998,0.916010498687664,industrial
Wicked Slam,168800,False,30,Beenie Man,Dancehall: Beenie Man,0.607,0.859,10,-5.325,0.0,0.298,0.623,0.0,0.276,0.728,83.042,168800,4.0,228.0,55.0,0.659,0.7573891625615764,j-dance
MEU VÍCIO É VOCÊ,144914,False,57,Zezo,O Príncipe dos Teclados,0.778,0.852,8,-2.346,0.0,0.0265,0.567,0.0,0.0968,0.702,111.064,144914,4.0,268.0,66.0,0.286,2.7259036144578315,forro
Phosphor,467333,False,20,Bölzer,Hero,0.156,0.981,4,-7.823,0.0,0.0908,2.68e-05,0.534,0.144,0.0965,127.326,467333,4.0,980.0,244.0,0.104,0.916010498687664,black-metal
Gaston - Brazilian Version,190400,False,24,Mauricio Luz;Pedro Lopes,A Bela e a Fera,0.436,0.332,7,-15.096,,0.0663,0.811,0.0,0.136,0.701,72.408,190400,4.0,248.0,62.0,0.594,4.067085953878407,disney
擱淺,236133,False,65,Jay Chou,七里香,0.497,0.49,5,-7.161,1.0,0.0276,0.671,0.000417,0.155,0.126,122.71,236133,4.0,481.0,121.0,0.193,1.2793053545586106,mandopop
Flack,281187,False,9,Yimino;Nick Miller;Gina Beck,Breaker,0.75,0.351,2,-11.682,1.0,0.0644,0.437,0.891,0.0948,0.195,79.998,281187,4.0,368.0,93.0,0.721,3.70048309178744,idm
Eu Me Apaixonei Pela Morena,172356,False,46,Josué Bom de Faixa,O Bom de Faixa,0.67,0.896,8,-5.628,0.0,0.0312,0.815,0.000181,0.124,0.843,148.767,172357,4.0,426.0,106.0,0.695,2.7259036144578315,forro
マンハッタンでブレックファスト,269146,False,30,Seiko Matsuda,Windy Shadow,0.729,0.673,10,-7.939,1.0,0.0333,0.23,0.00145,0.301,0.621,140.874,269147,,616.0,153.0,0.226,0.7573891625615764,j-idol
To Get Down - Radio Mix,212600,False,51,Timo Maas,Loud (Eastwest Release),0.661,0.806,9,-7.892,,0.0545,0.0012,0.102,0.101,0.711,112.03,212600,4.0,394.0,98.0,0.462,1.343558282208589,breakbeat
L'amour est bleu - Mellow Version,207306,False,15,Therion,Les Épaves,0.556,0.675,7,-5.169,1.0,0.0238,0.0248,0.0016,0.144,0.357,105.024,207307,4.0,356.0,88.0,0.127,4.067085953878407,black-metal
Creamer,137807,False,19,Timothy Infinite,Crunchy,0.864,0.351,1,-7.731,0.0,0.209,0.639,0.656,0.108,0.459,130.017,137808,4.0,293.0,73.0,0.754,2.36741214057508,study
Baarishein,207309,False,81,Anuv Jain,Baarishein,0.475,0.124,2,-9.463,,0.0444,0.926,0.0,0.0972,0.19,94.42,207310,4.0,283.0,70.0,0.122,3.70048309178744,indian
Ze-Ka,476558,False,9,Yimino;Baccara Smart,Autonoe Vora,0.601,0.588,7,-12.623,0.0,0.0552,0.24,0.91,0.131,0.187,75.004,476558,4.0,576.0,144.0,0.12,4.067085953878407,idm
There’s A First Time For Everything,136769,False,54,Charlie Puth,CHARLIE,0.551,0.737,1,-5.573,1.0,0.103,0.466,2.74e-06,0.21,0.611,197.997,136770,4.0,447.0,110.0,0.821,2.36741214057508,breakbeat
Me Atraiu - Acústico,202127,False,0,Gabriel Brito;Filipe Lancaster,Me Atraiu (Acústico),0.587,0.214,8,-10.045,,0.0273,0.773,0.0,0.11,0.217,139.847,202128,4.0,460.0,113.0,0.254,2.7259036144578315,brazil
Misterio,242221,False,0,Slapshock,Novena,0.283,0.946,8,-4.947,,0.0797,0.00151,0.0,0.254,0.567,169.931,242221,,675.0,169.0,0.872,2.7259036144578315,black-metal
My Disintegration,380885,False,37,Celldweller,Satellites,0.327,0.865,8,-4.885,,0.0728,0.000207,0.00239,0.109,0.478,92.011,380886,4.0,567.0,140.0,0.96,2.7259036144578315,industrial
Magnetic Eyes - Radio Edit,212413,False,45,Matrix & Futurebound;Baby Blue,Magnetic Eyes (feat. Baby Blue),0.462,0.943,7,-1.288,1.0,0.0401,0.0516,0.000118,0.203,0.685,174.023,212414,4.0,606.0,151.0,0.086,4.067085953878407,industrial
Una Rata Vieja,228240,False,33,Tatiana,"Brinca, Vol. 2",0.641,0.728,0,-8.04,,0.0314,0.197,3.56e-06,0.269,0.589,112.019,228240,,420.0,105.0,0.185,3.349056603773585,disney
Carried Away (Love To Love),182653,False,3,Surf Mesa;Madison Beer,Autumn Vibes 2022,0.515,0.684,1,-5.293,1.0,0.0366,0.341,0.0,0.324,0.296,142.015,182654,4.0,424.0,105.0,0.552,2.36741214057508,chicago-house
Feel It 2,169110,False,0,twocolors;Georgie Keller,Night Drive Autumn/Winter 2022/23,0.66,0.693,1,-6.33,0.0,0.0364,0.185,1.18e-06,0.719,0.575,125.038,169110,4.0,350.0,86.0,0.208,2.36741214057508,chicago-house
Mere Rashke Qamar,220382,False,69,Nusrat Fateh Ali Khan;Rahat Fateh Ali Khan,Baadshaho,0.718,0.83,4,-5.488,0.0,0.0505,0.404,2.5e-05,0.124,0.771,105.012,220382,,384.0,95.0,0.232,0.916010498687664,indian
Ginga Ponteiro in Versão,320058,False,19,Nomade Orquestra,Na Terra das Primaveras,0.809,0.677,11,-4.825,0.0,0.0335,0.166,0.92,0.0542,0.875,110.001,320059,4.0,581.0,145.0,0.768,0.7481162540365985,afrobeat
Fiddlehead,197003,False,7,Ochre,An Eye To Windward,0.295,0.256,7,-17.008,1.0,0.0303,0.761,0.934,0.0867,0.0356,48.0,197003,3.0,156.0,52.0,0.617,4.067085953878407,idm
相見恨晚,252453,False,45,Julia Peng,最佳美聲 典藏精選,0.675,0.562,1,-7.04,,0.0356,0.334,0.0,0.0895,0.157,113.91,252453,4.0,471.0,117.0,0.714,2.36741214057508,mandopop
Boa Sorte pra Você,157750,False,42,Vitor Fernandes,Diferente de Tudo,0.499,0.803,9,-4.153,0.0,0.0437,0.49,2.03e-05,0.118,0.688,150.084,157750,4.0,386.0,95.0,0.586,1.343558282208589,forro
You Will Payback! (Re-Recorded),247484,True,0,Confess,Back to My Future,0.565,0.931,8,-4.285,,0.0652,2.04e-05,0.604,0.0665,0.616,113.022,247484,4.0,463.0,116.0,0.212,2.7259036144578315,iranian
No Place To Hide,208240,False,24,Alison Krauss & Union Station,So Long So Wrong,0.607,0.748,6,-7.204,0.0,0.032,0.376,0.0201,0.0674,0.783,105.306,208240,4.0,365.0,93.0,0.497,1.1709531013615733,bluegrass
Aquarium,299040,False,4,Casino Versus Japan,Whole Numbers Play the Basics,0.609,0.366,1,-14.752,1.0,0.0522,0.774,0.951,0.219,0.494,75.008,299040,3.0,373.0,123.0,0.316,2.36741214057508,idm
女は一人じゃ眠れない,241626,False,27,Nogizaka46,逃げ水 (Special Edition),0.477,0.914,1,-2.705,0.0,0.0512,0.0604,0.0,0.0347,0.632,156.949,241627,4.0,616.0,153.0,0.476,2.36741214057508,j-idol
Mirabel's Cumbia,169893,False,17,Germaine Franco,Encanto (Trilha Sonora Original em Português),0.661,0.525,7,-8.495,,0.0313,0.562,0.679,0.0617,0.934,97.99,169893,4.0,266.0,66.0,0.561,4.067085953878407,disney
Le king m'a validé,237599,False,25,Big Ty;Markis,Le king m'a validé,0.662,0.93,6,-7.483,1.0,0.0378,0.176,0.0,0.112,0.954,125.014,237599,4.0,486.0,120.0,0.562,1.1709531013615733,afrobeat
Por Si No Te Has Dado Cuenta,180886,False,8,Fernando Corona,Por Si No Te Has Dado Cuenta,0.582,0.6,10,-6.147,1.0,0.118,0.55,0.0,0.263,0.899,160.065,180886,3.0,478.0,158.0,0.039,0.7573891625615764,idm
學不會,229500,False,0,JJ Lin,學不會,0.453,0.604,3,-4.897,,0.0349,0.67,0.0,0.0981,0.203,123.716,229500,4.0,462.0,116.0,0.69,1.7389162561576357,mandopop
Sad But True,481920,False,46,Boris Brejcha,FEAR,0.82,0.425,2,-10.306,1.0,0.0877,0.000694,0.906,0.112,0.307,125.001,481920,4.0,999.0,249.0,0.347,3.70048309178744,techno
Chemical Beats - 2003 Digital Remaster,244666,False,3,The Chemical Brothers,Brotherhood (Deluxe),0.714,0.988,8,-3.474,,0.0744,0.0202,0.805,0.362,0.829,120.865,244667,4.0,480.0,121.0,0.981,2.7259036144578315,breakbeat
"1,000 Names",344200,False,41,Phil Wickham,Hymn of Heaven,0.47,0.693,10,-5.803,1.0,0.0443,0.153,0.0,0.115,0.115,129.139,344200,4.0,724.0,182.0,0.253,0.7573891625615764,afrobeat
How Much Is the Fish?,227000,False,47,Scooter,No Time to Chill,0.53,0.994,2,-9.629,0.0,0.0615,0.000592,0.00708,0.364,0.681,139.992,227000,4.0,512.0,127.0,0.038,3.70048309178744,happy
Sanctity of Space : Cassini’s Journey,236275,False,21,Nosferatu,Approach To Midnight,0.442,0.963,8,-3.693,1.0,0.478,0.276,0.000548,0.0836,0.192,177.868,236275,4.0,694.0,176.0,0.466,2.7259036144578315,happy
鐵幕誘惑,246960,False,27,Aaron Kwok;Frankie,郭富城精選2006,0.773,0.869,1,-6.239,1.0,0.0689,0.0617,5.41e-05,0.102,0.426,110.23,246960,4.0,445.0,111.0,0.491,2.36741214057508,mandopop
Moment To Moment,155202,False,61,Modal Colours,Moment To Moment,0.113,0.0413,5,-29.786,,0.0432,0.946,0.886,0.103,0.152,78.745,155202,4.0,203.0,50.0,0.161,1.2793053545586106,sleep
Pastelitos de Luna,259560,False,21,María Caneda;Carlos Baez;Sandra Carvajal;Santi Aguirre;Toni Menguiano;Astrid Jones;Virginia Mos;Malia Conde,'Más allá de la Luna' (música de la película de Netflix),0.331,0.349,1,-8.285,1.0,0.0286,0.922,0.00299,0.0834,0.346,137.842,259560,4.0,576.0,145.0,0.68,2.36741214057508,disney
Stan D'infamy,196586,False,0,Luke Vibert,YosepH,0.758,0.848,10,-5.663,0.0,0.0563,0.00465,0.773,0.324,0.678,116.008,196587,4.0,373.0,94.0,0.915,0.7573891625615764,idm
Death On The Dance Floor,214406,False,25,ZABO;ARIUS,Death On The Dance Floor,0.684,0.945,1,-2.583,,0.0854,0.0184,0.782,0.172,0.0829,100.036,214406,,353.0,88.0,0.442,2.36741214057508,techno
7 Minutes of Funk,424506,False,13,Glenn Underground,Silent,0.769,0.64,9,-12.873,0.0,0.0566,0.00229,0.766,0.059,0.81,122.011,424507,4.0,853.0,215.0,0.447,1.343558282208589,chicago-house
This One Is For You - Restrained Remix,174561,False,24,Neophyte;Scott Brown;Restrained,This One Is For You (Restrained Remix),0.487,0.999,7,-3.047,,0.345,0.0141,8.94e-06,0.359,0.124,181.822,174562,4.0,513.0,127.0,0.123,4.067085953878407,happy
I Miss Billy The Kid,188880,False,26,Billy Dean,Billy Dean the Hits,0.561,0.772,2,-4.839,1.0,0.028,0.107,0.0,0.122,0.61,171.778,188880,4.0,516.0,128.0,0.417,3.70048309178744,bluegrass
Mbube,116093,False,40,Lebo M.,The Lion King (Original Motion Picture Soundtrack),0.692,0.603,1,-6.952,1.0,0.127,0.599,0.00645,0.137,0.643,138.065,116093,,259.0,64.0,0.475,2.36741214057508,disney
Mental Powers,306337,False,44,Argy,Unity Pt. 3,0.805,0.894,7,-9.56,1.0,0.0583,0.00483,0.919,0.0822,0.245,124.025,306337,4.0,625.0,157.0,0.549,4.067085953878407,techno
Hear Me Now,194840,False,78,Alok;Zeeba;Bruno Martini,Hear Me Now (feat. Zeeba),0.778,0.463,11,-7.603,1.0,0.0389,0.546,0.00289,0.0731,0.496,121.999,194840,4.0,386.0,96.0,0.593,0.7481162540365985,chicago-house
Study Buddy,145969,False,10,UniqeCorn,Study Buddy,0.736,0.365,1,-14.244,,0.0354,0.668,0.84,0.148,0.409,135.932,145970,4.0,319.0,79.0,0.306,2.36741214057508,study
By Myself,88000,False,5,arai tasuku,Fantasmagorie The Ghost Show -Original Soundtrack-,0.487,0.293,4,-15.577,0.0,0.165,0.983,0.00676,0.13,0.691,147.531,88000,3.0,211.0,69.0,0.831,0.916010498687664,idm
"T-Shirt, Ripped Jeans",195849,True,17,Govana,"T-Shirt, Ripped Jeans",0.958,0.538,1,-7.276,0.0,0.167,0.408,0.0,0.106,0.565,106.061,195849,4.0,340.0,84.0,0.286,2.36741214057508,j-dance
Nobody Said It Was Easy [Mix Cut] - Original Mix,206160,False,55,Evil Activities,Evil's Greatest Activities (Mixed Version),0.247,0.834,0,-6.64,1.0,0.0515,0.00657,0.00088,0.38,0.058,172.792,206160,4.0,591.0,147.0,0.563,3.349056603773585,techno
To Tha Down,372610,False,13,Mark Farina,Isolated Samples,0.888,0.702,2,-11.143,1.0,0.0626,0.000971,0.853,0.0731,0.924,119.154,372611,4.0,737.0,186.0,0.542,3.70048309178744,chicago-house
Want U Bad,222000,False,1,Fern.,Want U Bad,0.469,0.315,6,-15.836,1.0,0.0496,0.871,0.000184,0.111,0.353,79.947,222000,4.0,285.0,70.0,0.626,1.1709531013615733,study
Ain't No Bread in the Bread Box,557400,False,15,Greensky Bluegrass,The Leap Year Sessions: Volume One,0.418,0.673,4,-8.649,1.0,0.032,0.247,0.261,0.169,0.339,138.591,557400,,1285.0,324.0,0.622,0.916010498687664,bluegrass
旅行的意義,256706,False,57,Cheer Chen,華麗的冒險,0.525,0.516,2,-7.931,1.0,0.0299,0.38,0.0,0.365,0.25,137.972,256707,4.0,579.0,145.0,0.237,3.70048309178744,mandopop
Khan e Dovom,373250,False,0,From The Vastland,The Haft Khan,0.203,0.882,3,-7.97,,0.093,1.73e-05,0.892,0.11,0.107,119.978,373250,,810.0,203.0,0.21,1.7389162561576357,iranian
Zapatillas,172640,False,66,El Canto Del Loco,Zapatillas,0.428,0.956,8,-2.382,0.0,0.178,0.0281,0.0,0.58,0.686,198.076,172640,,569.0,141.0,0.729,2.7259036144578315,spanish
粉紅色的腰帶,201191,False,27,蔡秋鳳,拚輸贏,0.342,0.561,2,-6.697,,0.0354,0.291,4.18e-06,0.138,0.382,80.679,201192,,258.0,64.0,0.22,3.70048309178744,mandopop
Penúltimo beso (feat. Miguel Campello),212015,False,52,Taburete;Miguel Campello,Penúltimo beso (feat. Miguel Campello),0.574,0.654,2,-5.98,0.0,0.126,0.205,0.0,0.123,0.406,140.043,212016,4.0,527.0,134.0,0.837,3.70048309178744,spanish
The Dope Show,226733,True,62,Marilyn Manson,Mechanical Animals,0.562,0.671,4,-7.801,0.0,0.0379,8.73e-06,0.000491,0.792,0.376,134.962,226733,,508.0,126.0,0.607,0.916010498687664,industrial
Las Lycras del Avila,181493,False,22,Los Amigos Invisibles,The New Sound of the Venezuelan Gozadera,0.691,0.624,0,-8.47,1.0,0.0358,0.32,0.67,0.0869,0.734,132.297,181493,4.0,399.0,99.0,0.359,3.349056603773585,afrobeat
ILL'NOIZE,200970,False,9,Felix Da Housecat,ILL'NOIZE,0.689,0.837,9,-12.272,0.0,0.0436,0.0176,0.77,0.107,0.844,122.996,200971,,410.0,101.0,0.753,1.343558282208589,chicago-house
The Carnival of the Animals: Pianists (feat. Nina Flyer & Chie Nagatani),107782,False,1,David Ogden Stiers;Chie Nagatani;Nina Flyer,Ferdinand the Bull and Friends (feat. Nina Flyer and Chie Nagatani),0.45,0.109,4,-19.227,0.0,0.0697,0.984,0.107,0.0974,0.355,124.981,107782,3.0,216.0,72.0,0.707,0.916010498687664,disney
Raaz Tera Mera,208500,False,52,Akanksha Sethi,Raaz Tera Mera,0.307,0.254,0,-13.692,1.0,0.0265,0.845,6.08e-06,0.373,0.332,81.028,208500,3.0,265.0,88.0,0.561,3.349056603773585,indian
ホログラム,248906,False,57,NICO Touches the Walls,オーロラ,0.388,0.894,0,-3.425,1.0,0.0455,0.000808,0.0,0.199,0.724,156.12,248907,4.0,630.0,157.0,0.425,3.349056603773585,j-idol
for the twin,310000,False,33,Daisuke Tanabe,Cat Steps,0.689,0.913,0,-8.694,1.0,0.0661,0.288,0.891,0.178,0.649,179.946,310000,4.0,923.0,232.0,0.523,3.349056603773585,idm
Dream Rich Lifestyle,195898,True,23,Chronic Law,Dream Rich Lifestyle,0.737,0.682,0,-6.197,1.0,0.248,0.35,0.0,0.119,0.629,132.705,195898,5.0,433.0,109.0,0.232,3.349056603773585,j-dance
Secret,221596,False,21,Vybz Kartel,Secret,0.777,0.93,8,-5.25,,0.0567,0.0476,0.000207,0.118,0.867,104.023,221597,4.0,374.0,92.0,0.313,2.7259036144578315,j-dance
The Corruption,336666,False,0,Najand,In the Night of Revolution,0.159,0.895,6,0.072,0.0,0.0924,0.00148,0.735,0.087,0.118,82.219,336666,,449.0,112.0,0.505,1.1709531013615733,iranian
給你一瓶魔法藥水,258786,False,60,告五人,玫瑰憑證,0.643,0.8,1,-4.669,,0.037,0.0249,0.000329,0.21,0.792,99.016,258788,4.0,423.0,106.0,0.476,2.36741214057508,mandopop
Vida Rasteja / Vassourinha / Voltei Recife / Asa branca / Está bhegando a hora / Frevo no pé da serra (Participação especial João do Pife e Marcos do Pífano) - Ao vivo,303455,False,44,O Rappa;Marcos do Pifano e João do Pife,O Rappa - Acústico Oficina Francisco Brennand (Deluxe) [Ao Vivo],0.509,0.77,10,-7.735,0.0,0.0878,0.165,0.0296,0.707,0.477,91.41,303456,4.0,457.0,114.0,0.313,0.7573891625615764,brazil
雨蝶,230760,False,51,E-Jun Lee,誓言謊言,0.404,0.503,10,-7.588,0.0,0.0424,0.196,2.73e-05,0.187,0.245,191.329,230760,3.0,725.0,240.0,0.3,0.7573891625615764,mandopop
Mientras tú me quieras,246473,False,30,Alex Ubago,Mentiras sinceras,0.677,0.678,1,-5.723,,0.025,0.551,0.0,0.109,0.572,94.971,246474,4.0,386.0,96.0,0.112,2.36741214057508,spanish
Redentor - Ao Vivo,349267,False,49,Lukas Agustinho,Redentor (Ao Vivo),0.312,0.632,7,-6.027,1.0,0.0507,0.0377,0.0,0.116,0.342,134.106,349268,4.0,603.0,151.0,0.655,4.067085953878407,brazil
Black Woman,173871,False,20,Vybz Kartel,Black Woman,0.505,0.62,2,-8.328,1.0,0.167,0.505,0.0,0.0734,0.547,130.637,173871,5.0,372.0,92.0,0.042,3.70048309178744,j-dance
LALALA,202378,False,23,Korsakoff,LALALA,0.629,0.924,5,-1.136,0.0,0.0421,0.00854,0.000146,0.237,0.105,92.488,202378,,308.0,77.0,0.301,1.2793053545586106,happy
The American Way,267049,False,24,The Crystal Method,Legion of Boom,0.734,0.625,10,-7.676,0.0,0.0396,0.0554,0.784,0.143,0.558,95.986,267050,4.0,428.0,107.0,0.415,0.7573891625615764,breakbeat
Run Wild.,240986,False,51,for KING & COUNTRY;Andy Mineo,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),0.59,0.837,7,-5.204,0.0,0.0921,0.217,1.66e-05,0.107,0.356,130.043,240987,4.0,506.0,126.0,0.979,4.067085953878407,mandopop
Un Beso Y Una Flor,268946,False,0,Nino Bravo,Retro Baladas,0.308,0.787,9,-3.867,1.0,0.035,0.449,0.0,0.0372,0.449,83.996,268947,4.0,375.0,93.0,0.185,1.343558282208589,spanish
Onwards,217066,False,21,Mile Twelve,Onwards,0.551,0.619,11,-8.659,1.0,0.0329,0.49,0.000576,0.223,0.71,153.033,217067,3.0,538.0,178.0,0.426,0.7481162540365985,bluegrass
All I Ever Wanted,392240,False,46,Adriatique;Marino Canal,All I Ever Wanted,0.781,0.63,2,-9.768,0.0,0.0628,0.00755,0.792,0.11,0.365,123.021,392240,4.0,800.0,201.0,0.332,3.70048309178744,techno
Modular Fantasy No.1 (Remastered),160000,False,0,Parsa Shomali,Synthetic Trilogy,0.147,0.163,0,-13.953,,0.041,0.91,0.949,0.0429,0.0393,137.073,160000,5.0,329.0,82.0,0.173,3.349056603773585,iranian
Jump in the Benz,202536,False,0,Vybz Kartel,The Gaza Don,0.758,0.664,4,-5.262,0.0,0.267,0.185,0.0,0.324,0.288,103.122,202537,4.0,347.0,87.0,0.249,0.916010498687664,j-dance
Batom,223092,False,10,ATR;Luedji Luna,Batom,0.656,0.508,6,-10.105,0.0,0.0956,0.295,0.505,0.0857,0.585,194.015,223093,4.0,708.0,177.0,0.079,1.1709531013615733,afrobeat
Prelude to Agony,735026,False,25,Type O Negative,"Slow, Deep and Hard (2009 Remaster)",0.293,0.635,2,-16.697,1.0,0.0545,0.0225,0.239,0.372,0.15,132.486,735027,4.0,1465.0,368.0,0.916,3.70048309178744,industrial
Papua New Guinea (Monsoon Mix),291665,False,39,The Future Sound Of London,Accelerator Deluxe,0.586,0.777,8,-11.313,1.0,0.0475,0.00206,0.808,0.136,0.716,125.023,291666,4.0,598.0,149.0,0.475,2.7259036144578315,breakbeat
Przyjaciele Z Zaswiatów,216826,False,25,Wojciech Paszkowski,Ksiezniczka I Zaba,0.489,0.794,9,-4.441,0.0,0.274,0.631,0.0,0.362,0.408,126.332,216827,,435.0,110.0,0.727,1.343558282208589,disney
Vin Rouge,182000,False,7,Felix Da Housecat;Blakk Hazel;Dave The Hustler,Vin Rouge,0.563,0.91,4,-9.156,0.0,0.0356,0.00845,0.447,0.211,0.445,119.965,182000,4.0,361.0,91.0,0.604,0.916010498687664,chicago-house
Have Some Fun - Club Mix,213945,False,14,Deekline;Ed Solo;General Levy,Have Some Fun,0.62,0.961,1,-3.26,0.0,0.0546,0.00995,0.000724,0.309,0.518,175.032,213945,4.0,609.0,151.0,0.725,2.36741214057508,breakbeat
UK Border Patrol,265631,False,38,Dimension,Organ,0.512,0.683,5,-7.705,0.0,0.05,0.402,0.929,0.228,0.122,102.89,265631,4.0,448.0,113.0,0.083,1.2793053545586106,industrial
Todos Los Besos,239146,False,58,Los Rebujitos,El Niño Pena,0.667,0.763,9,-5.295,1.0,0.0331,0.375,0.0,0.118,0.733,125.049,239147,4.0,484.0,121.0,0.077,1.343558282208589,spanish
Quero Mergulhar Nas Profundezas - Ao Vivo,196413,False,51,Padre Marcelo Rossi,Músicas Para Louvar O Senhor,0.224,0.555,4,-8.35,1.0,0.0398,0.428,0.0,0.382,0.311,123.878,196413,,404.0,102.0,0.815,0.916010498687664,brazil
Any Way You Want It / Lovin' Touchin' Squeezin' (Glee Cast Version),187413,False,19,Glee Cast,Glee LGBTQIA+ Pride,0.463,0.839,9,-3.084,1.0,0.0361,0.00416,0.0,0.442,0.614,145.935,187413,4.0,445.0,111.0,0.6,1.343558282208589,techno
Mä yksin ootan ihmettä,161840,False,24,Esme Kaislakari,Encanto (Alkuperäinen Soundtrack),0.683,0.556,4,-7.77,1.0,0.0364,0.248,2.45e-06,0.123,0.337,95.016,161840,3.0,245.0,80.0,0.446,0.916010498687664,disney
Boyfriend (Moonlight Version)(version2016),279760,False,22,Flower,THIS IS Flower THIS IS BEST,0.726,0.811,0,-5.782,,0.0464,0.381,0.0,0.176,0.856,119.978,279760,4.0,550.0,139.0,0.377,3.349056603773585,j-idol
