name,duration_ms,explicit,popularity,artists,album_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,kmeans.labels_
Brokedown Palace 9/25: The Caverns - Live,344146,0,20,Greensky Bluegrass,Courage for the Road: Fall 2019 (Live),0.454,0.337,5,-15.906,0.0371,0.793,0.00148,0.922,0.249,123.612,4.0,bluegrass,0
→,282893,0,18,SILENT SIREN,Silent Siren Selection,0.522,0.805,9,-5.427,0.0436,0.00608,0.0,0.265,0.616,176.127,4.0,j-idol,1
Ukon Laulu,252556,0,27,Lepoka,Bibere Vivere,0.373,0.927,7,-4.14,0.09,0.000365,0.000162,0.0878,0.479,180.012,4.0,spanish,1
Monday Morning Before Work,227320,0,13,Kelpe,Kyverdale Road,0.757,0.153,8,-23.574,0.047,0.857,0.952,0.106,0.476,102.987,4.0,idm,2
えっと干支がーる,204000,0,28,夜光性アミューズ,えっと干支がーる,0.684,0.898,10,-4.965,0.0494,0.0174,0.0,0.323,0.808,100.021,4.0,j-idol,1
Soim In Vazduh,417025,0,20,Bucovina,Sub Stele,0.497,0.974,0,-5.032,0.0821,0.000247,0.349,0.252,0.232,154.991,4.0,black-metal,1
Doug's Tune,136266,0,28,The Dillards,Back Porch Bluegrass,0.397,0.933,3,-9.578,0.0503,0.275,0.969,0.0951,0.977,135.491,4.0,bluegrass,3
愛上你算我賤,250941,0,55,NICKTHEREAL,REAL LIFE,0.478,0.738,6,-4.464,0.0414,0.00432,0.0,0.154,0.353,163.994,4.0,mandopop,1
never had,140487,0,12,Organ Tapes,唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao,0.405,0.389,2,-14.809,0.0419,0.863,0.72,0.134,0.748,89.271,4.0,techno,2
I Love You - Love Mix,217916,0,1,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),0.682,0.877,0,-4.89,0.0477,0.0158,0.218,0.0439,0.512,144.003,4.0,happy,1
H.O.P.E.,569782,0,33,Hozho,"Singles Collection, Vol. 1",0.712,0.474,4,-11.715,0.0516,0.0664,0.745,0.0998,0.0839,127.026,4.0,techno,3
Pal - Lofi Flip,263200,0,57,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),0.616,0.6,7,-7.662,0.0417,0.192,0.046,0.176,0.23,119.944,4.0,indian,1
Meu Vício É Você,144906,0,0,Zezo,Zezo (O Príncipe dos Teclados),0.771,0.856,1,-2.34,0.0265,0.533,0.0,0.105,0.713,111.064,4.0,forro,1
Get Get Down - Original Mix,551999,0,8,Paul Johnson,"Best Of Moody Recordings, Vol. 1",0.906,0.918,5,-8.041,0.0839,0.000146,0.845,0.116,0.51,126.953,4.0,chicago-house,3
Battle Cry,175200,1,0,Kraff Gad,Battle Cry,0.867,0.487,7,-9.212,0.115,0.231,0.0,0.0872,0.204,100.104,4.0,j-dance,1
Wir Ziehen Heut Abend Auf's Dach,210306,0,26,Jürgen Drews,Musik Box Teil 1,0.631,0.925,7,-5.591,0.0761,0.627,3.66e-06,0.493,0.799,124.061,4.0,happy,1
Despot,361800,0,18,Windir,Likferd,0.318,0.623,2,-5.794,0.0531,1.21e-06,0.935,0.224,0.192,90.051,4.0,black-metal,3
Vou Te Procurar,213916,0,0,Asas Livres,Asas Livres & Pablo: Retrô (Ao Vivo),0.78,0.541,0,-7.75,0.0282,0.0877,1.58e-05,0.573,0.83,128.901,4.0,forro,1
Isso Aquí Tá Bom Demais,154240,0,53,Dominguinhos,Nas Costas Do Brasil,0.728,0.802,2,-7.717,0.043,0.256,0.00262,0.314,0.809,139.992,4.0,forro,1
The Light Tears Apart,256687,0,0,Shivered,Journey to Fade,0.443,0.932,4,-5.086,0.0715,2.47e-05,0.00178,0.375,0.454,159.935,4.0,iranian,1
i loved you first,227067,0,50,joan,i loved you first,0.556,0.276,0,-9.603,0.0269,0.0862,6.89e-06,0.0999,0.216,75.02,4.0,sleep,0
Filho de Davi,353986,0,49,Tony Allysson,Poderoso Deus,0.578,0.635,2,-5.335,0.0278,0.661,0.0,0.138,0.343,137.98,4.0,brazil,0
"Tere Siva Jag Mein (From ""Tadap"")",205022,0,44,Pritam;Shilpa Rao;Darshan Raval;Charan,"Tere Siva Jag Mein (From ""Tadap"")",0.756,0.799,5,-5.728,0.0682,0.0894,0.00044,0.129,0.709,122.04,4.0,indian,1
Homophobia,273819,1,0,Tension Prophecy,Death Metal From Iran,0.238,0.777,1,-5.98,0.151,0.0106,0.73,0.254,0.156,92.322,4.0,iranian,3
Ajab Adaayein,194245,0,46,Swattrex,Ajab Adaayein,0.667,0.193,4,-17.939,0.0316,0.867,0.000222,0.108,0.307,90.77,4.0,indian,0
The Remedy,367191,1,12,Puscifer,Money Shot,0.466,0.759,11,-8.148,0.0311,0.0304,0.0405,0.171,0.659,180.021,5.0,industrial,1
Long Hot Summer Days,288760,0,32,John Hartford,Mark Twang,0.591,0.177,9,-17.299,0.0811,0.926,0.00106,0.294,0.522,70.959,4.0,bluegrass,0
Acalma Minha Tempestade,384850,0,56,Frei Gilson,Eu Vou Crer em Ti,0.538,0.907,10,-6.877,0.0515,0.0567,9.07e-06,0.178,0.345,134.014,4.0,brazil,1
Cloudy Daze - Ham Mix,323928,0,23,Bang!,Cloudy Daze,0.593,0.588,10,-14.42,0.043,0.00315,0.124,0.0639,0.328,169.857,4.0,happy,1
La Lola,197320,0,67,Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,0.725,0.79,9,-4.393,0.102,0.0646,0.00883,0.121,0.867,151.985,4.0,spanish,1
Des fissures apparaissent,82746,0,25,Germaine Franco,Encanto: La fantastique famille Madrigal (Bande Originale Française du Film),0.198,0.483,1,-14.552,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,disney,2
The Potters Hand,256093,0,43,Hillsong Worship,Ultimate Worship Vol 1,0.301,0.456,7,-6.606,0.0259,0.34,2.46e-06,0.205,0.193,74.59,4.0,iranian,0
Goodbye (feat. Xillions),155492,0,53,le Shuuk;Xillions,Goodbye (feat. Xillions),0.689,0.801,1,-4.501,0.122,0.0359,0.000547,0.0743,0.514,142.062,4.0,techno,1
Summer Wages,269493,0,21,J.D. Crowe & The New South,J.D. Crowe & the New South,0.585,0.184,11,-14.493,0.0313,0.696,0.000177,0.177,0.509,128.61,4.0,bluegrass,0
E.C.T. - Ao Vivo,210599,0,44,Cássia Eller,Acústico (Ao Vivo),0.666,0.896,7,-8.386,0.12,0.67,2.99e-06,0.149,0.633,130.093,4.0,brazil,0
American Car,279293,0,17,Keller Williams with The Travelin' McCourys,Pick,0.593,0.584,2,-6.916,0.0269,0.577,0.00228,0.203,0.665,96.017,4.0,bluegrass,0
Blow the Man Down,117906,0,42,Mickey Mouse;The Gooey Fish,Mickey Mouse Clubhouse,0.725,0.552,2,-9.03,0.027,0.321,0.0,0.101,0.975,97.624,1.0,disney,1
Beaks of Eagles,271974,0,11,Kelpe,Fourth: The Golden Eagle,0.615,0.517,10,-9.227,0.0425,0.0907,0.729,0.183,0.644,95.08,4.0,idm,3
Down 4 U - Extended Version; 2017 Remaster,507832,0,7,Romanthony,Glasgow Underground 1997-2017,0.885,0.592,5,-6.898,0.0599,0.000285,0.0934,0.0555,0.708,128.389,4.0,chicago-house,1
For Those Tears I Died,181760,0,37,The Isaacs,The Living Years,0.422,0.117,11,-13.659,0.0315,0.901,0.0,0.0546,0.231,77.202,4.0,bluegrass,0
Acending,174748,0,58,So Jao,Acending,0.205,0.0406,5,-30.85,0.0462,0.97,0.979,0.143,0.0592,87.113,3.0,sleep,2
Filmes e Histórias,229053,0,46,Pablo,Um Novo Passo,0.649,0.567,1,-5.726,0.0314,0.316,0.0,0.397,0.635,131.91,4.0,forro,1
Dignity,314183,0,2,Kahtmayan,Resurrection 1,0.602,0.954,6,-4.389,0.043,0.000487,0.000916,0.363,0.185,119.961,4.0,iranian,1
Dance Wit U,198930,0,21,CIRRRCLE,BESTY,0.763,0.623,10,-5.971,0.285,0.0653,0.0,0.0282,0.8,105.963,4.0,j-dance,1
Falling Time,427973,0,6,Alphaxone,Dystopian Gate,0.106,0.233,1,-23.622,0.0391,0.843,0.876,0.141,0.0388,82.33,3.0,iranian,2
Stupid MF,144986,0,53,Mindless Self Indulgence,You'll Rebel To Anything (Expanded and Remastered),0.704,0.726,0,-5.05,0.128,0.00698,0.0151,0.167,0.726,151.972,4.0,industrial,1
與海無關 (《比悲傷更悲傷的故事》影集版插曲),245231,0,52,告五人,運氣來得若有似無,0.654,0.227,2,-12.619,0.0298,0.906,2.14e-05,0.091,0.373,78.155,4.0,mandopop,0
Het barsten begint,82746,0,18,Germaine Franco,Encanto (Originele Nederlandstalige Soundtrack),0.198,0.483,1,-14.552,0.0506,0.831,0.927,0.0979,0.234,76.592,3.0,disney,2
Helligdom Av Døde,377217,0,11,Khold,Svartsyn,0.468,0.661,2,-13.254,0.0406,7.77e-05,0.000738,0.0564,0.282,127.906,4.0,black-metal,1
A System Of Mirrors,459389,0,8,Robert Hood,Mirror Man,0.685,0.697,10,-12.305,0.0373,8.41e-06,0.896,0.069,0.148,129.999,4.0,chicago-house,3
ラッキー7,194920,0,26,Flower,Hitomi No Oku No Milkyway,0.674,0.914,7,-3.311,0.0467,0.016,0.0,0.0402,0.778,93.003,4.0,j-idol,1
Snart blir jeg majestet,171600,0,41,Eirik Espolin Johnson;Pernille Sommerfeldt;Anders Hatlo,The Lion King: Special Edition Original Soundtrack (Norwegian Version),0.629,0.753,6,-8.356,0.0753,0.261,9.5e-06,0.0898,0.843,98.887,4.0,disney,1
Tell Me If Yuh Like It,186666,1,22,Vybz Kartel,Tell Me If Yuh Like It,0.65,0.739,4,-4.554,0.338,0.0423,0.0,0.075,0.331,114.966,5.0,j-dance,1
Dull Boy,255320,0,32,Mudvayne,"By The People, For The People",0.598,0.953,2,-4.487,0.193,0.00148,2.3e-06,0.23,0.312,142.97,4.0,industrial,1
Atomic Ever After,183139,0,40,Kid Travis,Strawberry Skies,0.748,0.356,6,-13.473,0.176,0.205,0.0,0.0917,0.59,137.641,4.0,study,1
River of Grace,232653,0,48,Christy Nockels,Be Held : Lullabies for the Beloved,0.521,0.396,11,-10.654,0.0468,0.828,0.000766,0.1,0.398,77.046,4.0,brazil,0
Dooms Day,227056,0,8,Arsames,Immortal Identity,0.456,0.992,7,-3.817,0.139,7.98e-06,0.695,0.333,0.416,165.012,4.0,iranian,3
"Zicke Zacke, Prost ihr Säcke",170042,0,22,Jack Gelee,"Zicke Zacke, Prost ihr Säcke",0.71,0.998,8,-1.898,0.304,0.0221,0.0,0.529,0.712,140.089,4.0,happy,1
Sick Of It All,301383,0,24,Nosferatu;Evil Activities,Strength,0.596,0.997,6,-3.259,0.18,0.23,0.00349,0.584,0.15,169.968,4.0,happy,1
Aropador,240026,0,22,Plastilina Mosh,Juan Manuel,0.783,0.506,2,-14.552,0.0651,0.952,0.918,0.0676,0.397,117.147,4.0,afrobeat,2
The Sicarii,222880,0,1,Ninkharsag,Blood Of Celestial Kings,0.172,0.951,6,-5.129,0.0992,0.0,0.886,0.115,0.197,122.02,4.0,black-metal,3
Daar zijn we weer!,238228,1,17,Nosferatu;Neophyte,Harmony Of Hardcore 2016,0.599,0.976,4,-4.478,0.144,0.181,0.00197,0.303,0.259,100.023,4.0,happy,1
deep cracks,113684,0,33,fogdream,deep cracks,0.763,0.368,5,-13.875,0.0892,0.29,0.861,0.102,0.665,75.993,4.0,study,3
WKND,264768,0,16,Camo & Krooked,Zeitgeist,0.612,0.68,9,-5.608,0.184,0.00075,0.681,0.134,0.439,173.974,4.0,industrial,3
Offering,222106,0,31,The Avett Brothers,A Carolina Jubilee,0.342,0.442,7,-7.312,0.0294,0.24,0.00412,0.107,0.195,88.496,4.0,bluegrass,0
Hondo,98384,0,15,Flamman & Abraxas,Hondo,0.597,0.928,3,-8.626,0.034,0.000821,0.798,0.308,0.843,139.084,4.0,techno,3
Tum Mile,343786,0,70,Pritam;Neeraj Shridhar,Tum Mile (Original Motion Picture Soundtrack),0.738,0.798,0,-6.663,0.0334,0.32,5.15e-06,0.31,0.793,123.01,4.0,indian,1
イエローライト,274466,0,17,Shiritsu Ebisu Chugaku,私立恵比寿中学,0.459,0.856,8,-4.676,0.0491,0.0138,1.3e-06,0.0261,0.645,168.171,4.0,j-idol,1
Aaoge jab tum o sajna unplugged,101615,0,5,Nitin Shukla,Aaoge jab tum o sajna unplugged,0.501,0.0664,7,-20.161,0.0332,0.983,0.00057,0.123,0.547,94.04,4.0,indian,0
Dendrofil for Yggdrasil,340080,0,4,Kvelertak,Nattesferd,0.104,0.964,9,-5.325,0.0864,9.91e-06,0.57,0.525,0.126,158.191,4.0,black-metal,3
Hermosa,210088,0,1,Timothy Infinite,Suave,0.763,0.858,0,-5.413,0.0496,0.218,0.873,0.103,0.284,101.982,4.0,study,3
Forest Green,189434,0,34,Kyson,Forest Green / Have My Back,0.616,0.314,6,-11.98,0.0426,0.472,0.0999,0.112,0.0924,104.026,4.0,idm,0
Big Brother,307932,1,21,Mushroomhead,Superbuick,0.323,0.902,9,-6.034,0.11,0.000528,0.00663,0.161,0.407,147.309,4.0,industrial,1
Dhoom Machale Dhoom,235624,0,53,Pritam;Aditi Singh Sharma;Sameer Anjaan,Dhoom:3,0.7,0.899,1,-8.262,0.117,0.096,1.38e-05,0.327,0.674,109.994,4.0,indian,1
Confide,268378,0,34,Technimatic;A Little Sound,Confide,0.285,0.867,10,-3.65,0.0465,0.0101,0.000269,0.0887,0.0378,173.818,4.0,idm,1
Rockit,155653,0,23,Bad Boy Bill,The Album,0.866,0.574,7,-7.836,0.0649,0.00108,0.443,0.0406,0.602,127.951,4.0,chicago-house,3
My Promiscuous Daughter,196960,0,28,CKY,"Camp Kill Yourself, Vol.1",0.263,0.767,7,-10.161,0.0525,0.00696,0.478,0.356,0.308,125.995,4.0,industrial,3
Are You Ready (ft. Capital J),171789,0,14,Bassnectar;Capital J,Cozza Frenzy,0.471,0.731,1,-6.222,0.0921,0.000248,0.731,0.195,0.667,94.511,4.0,breakbeat,3
Graveyard Slut,243626,1,19,Darkthrone,The Cult is Alive,0.0658,0.993,9,-2.484,0.164,0.000697,0.217,0.317,0.107,199.986,4.0,black-metal,1
Too Close To Hate,288333,0,24,Sevendust,Sevendust,0.646,0.809,4,-9.072,0.0745,0.000264,0.00109,0.207,0.39,92.5,4.0,industrial,1
We Don't Talk About Bruno (from Disney's 'Encanto'),127759,0,4,Piano Genie,We Don't Talk About Bruno (from Disney's 'Encanto'),0.737,0.0292,9,-31.514,0.0617,0.995,0.971,0.0863,0.185,95.036,4.0,disney,2
Their Law,400733,1,48,The Prodigy,Music for the Jilted Generation,0.638,0.962,7,-8.468,0.0541,0.00223,0.716,0.309,0.562,119.081,4.0,breakbeat,3
Amores de barra,194666,0,29,Ella Baila Sola,Grandes Éxitos: Ella Baila Sola,0.604,0.827,7,-6.99,0.155,0.443,2.46e-06,0.201,0.315,172.065,4.0,spanish,1
Mehman,270937,0,24,Anupam Roy,Mehman,0.603,0.783,6,-6.012,0.0486,0.131,4.16e-05,0.234,0.703,127.981,4.0,indian,1
BALD! REMIX,153127,1,48,JPEGMAFIA;Denzel Curry,BALD! REMIX,0.721,0.949,1,0.402,0.31,0.181,0.0,0.646,0.705,155.015,4.0,industrial,1
Be Kind,247433,0,33,Rival Consoles,Persona,0.507,0.343,10,-20.092,0.0405,0.959,0.93,0.102,0.45,154.096,4.0,idm,2
"Safar (From ""Jab Harry Met Sejal"")",365669,0,50,Pritam;Arijit Singh,"Safar (From ""Jab Harry Met Sejal"")",0.307,0.604,7,-5.592,0.0397,0.593,3.79e-06,0.0789,0.452,85.641,5.0,indian,0
期待,282840,0,26,王瑞霞,"鄉城台語精選, Vol. 1",0.318,0.645,0,-10.555,0.0536,0.128,0.0,0.0825,0.483,74.127,4.0,mandopop,1
Close - Derrick Carter Mix,759400,0,7,Chez Damier;Derrick Carter,Close,0.728,0.797,0,-9.004,0.036,1.04e-05,0.756,0.626,0.661,128.025,4.0,chicago-house,3
勉強の歌 - 2012 Remaster,280026,0,23,Chisato Moritaka,ザ・シングルス 1987-1992 (2012 Remaster),0.671,0.968,9,-5.591,0.038,0.0841,8.61e-05,0.642,0.963,129.901,4.0,j-idol,1
Stukas im Visier,332786,0,30,Feindflug,Feindflug (Vierte Version),0.594,0.999,4,-0.527,0.0929,0.00654,0.932,0.311,0.111,139.904,4.0,industrial,3
"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",87931,0,22,David Healer,Studio Ghibli Piano Lullaby,0.641,0.289,5,-19.692,0.0484,0.985,0.954,0.104,0.63,116.011,4.0,disney,2
Fried Banana 2018,279800,0,11,OSAMU SATO,LSD REVAMPED,0.56,0.886,9,-8.416,0.0456,0.107,0.833,0.0795,0.964,120.005,4.0,idm,3
Mi Chaqueta de Cuero,175177,1,42,C.R.O,C.R.O - Mdbcrew Vol 2,0.735,0.509,5,-8.174,0.0684,0.773,0.0484,0.0948,0.32,137.068,4.0,spanish,0
cheesus,126000,0,0,Giorgio Robertini,Slidetrue,0.598,0.336,9,-11.992,0.0769,0.778,0.942,0.103,0.0386,90.156,4.0,study,2
Don't Loose Control,373953,0,0,Cosmic Boys,"Monosphere, Vol. 5",0.789,0.883,5,-4.552,0.0635,0.000309,0.917,0.065,0.363,128.992,4.0,techno,3
Shabistan,389800,0,6,Dariush Dolat-Shahi,"Electronic Music, Tar and Sehtar",0.316,0.48,7,-14.772,0.0559,0.828,0.817,0.0685,0.269,89.008,4.0,iranian,2
Prego e Martelo,178678,0,42,Pablo,Meu Coração,0.773,0.8,4,-3.929,0.0389,0.75,0.0,0.122,0.792,131.948,4.0,forro,0
Weird Sex,50640,0,0,Leila Bela,Angra Manyu,0.34,0.332,6,-17.576,0.0597,0.767,0.635,0.112,0.139,81.286,3.0,iranian,2
Crackpipe,272382,0,21,Micropoint,Overdose United,0.673,0.984,5,-1.414,0.288,0.0002,0.898,0.0887,0.105,99.998,4.0,industrial,3
退後,260200,0,60,Jay Chou,依然范特西,0.661,0.572,0,-5.665,0.0246,0.406,0.0,0.111,0.186,131.954,4.0,mandopop,0
可愛女人,236466,0,55,Jay Chou,杰倫,0.767,0.671,5,-9.995,0.0317,0.552,3.23e-05,0.201,0.921,135.468,4.0,mandopop,0
Pai Nosso - Ao Vivo,213866,0,58,Padre Marcelo Rossi,Padre Marcelo Rossi Sem Limite,0.189,0.624,9,-7.389,0.045,0.0877,0.0,0.0628,0.282,183.259,3.0,brazil,1
"Bilu, Bilu",207493,0,57,Pablo,É Só Dizer Que Sim,0.628,0.663,5,-6.267,0.0298,0.437,0.0,0.527,0.606,132.009,4.0,forro,0
Nossa História,276240,0,45,Forró Boys,"Forró di Katiguria, Vol. 3",0.717,0.822,8,-4.765,0.0334,0.0874,0.0,0.116,0.901,92.998,4.0,forro,1
Ova Dweet (Mixed),151500,0,4,Popcaan,CruiseControl: How I Met The Biggest Bird (DJ Mix),0.503,0.673,1,-7.685,0.395,0.126,0.0,0.607,0.539,128.454,5.0,j-dance,1
Ballada 07,216640,0,23,Grzegorz Markowski,Polska Nostalgia 60+ Cz.3,0.498,0.479,5,-7.251,0.0251,0.629,0.000884,0.229,0.281,109.092,4.0,disney,0
I'm not yours (feat. 安室奈美惠),221720,0,48,Jolin Tsai;Namie Amuro,呸,0.622,0.874,9,-5.639,0.0437,0.0122,1.8e-05,0.651,0.483,128.015,4.0,mandopop,1
Baadaabaad,290000,0,0,Rojin Sharafi,Zangaar,0.4,0.415,7,-13.288,0.16,0.839,0.362,0.111,0.0383,88.553,1.0,iranian,2
Ginger Root,140750,0,4,"Sarah, the Illstrumentalist",FLOWERS,0.396,0.217,9,-12.465,0.0415,0.677,0.794,0.176,0.107,84.658,4.0,study,2
Anye Up,200914,0,21,Ed Solo,"Welcome To The Jungle, Vol. 6: The Ultimate Jungle Cakes Drum & Bass Compilation",0.529,0.866,1,-3.226,0.0503,7.45e-06,0.936,0.152,0.739,174.996,4.0,breakbeat,3
Aura,521401,0,56,Avoure,U,0.684,0.604,11,-9.088,0.0471,0.00487,0.887,0.0456,0.364,123.0,4.0,techno,3
Andas,185920,0,27,Noa Sandberg,Andas,0.144,0.0158,10,-34.45,0.0424,0.884,0.834,0.106,0.209,67.858,3.0,sleep,2
Noble Maiden Fair,163723,0,0,Jartisto,Brave (Music from the Motion Picture for Solo Piano),0.625,0.0464,11,-20.287,0.115,0.991,0.946,0.147,0.455,120.912,3.0,disney,2
Tiê,236733,0,20,Sambabook;Criolo,"Sambabook Dona Ivone Lara, Vol. 1",0.668,0.516,11,-9.196,0.0726,0.645,0.0,0.0987,0.858,89.252,4.0,afrobeat,0
Imprint of Pleasure,442627,0,4,Tube & Berger,Pleasure Dip,0.806,0.615,9,-8.129,0.0927,0.152,0.774,0.102,0.499,122.061,3.0,techno,3
Get This Place - Radio Mix,203026,0,17,Paul Elstak,The Best Of Paul Elstak Top 20,0.572,0.988,0,-5.352,0.0499,0.0064,0.315,0.419,0.656,158.917,4.0,happy,1
Billo Rani,329247,0,58,Pritam;Anand Raj Anand;Richa Sharma,Dhan Dhana Dhan Goal,0.71,0.845,11,-6.878,0.111,0.257,0.0,0.192,0.846,98.016,4.0,indian,1
(......棕髮少女)(feat. 小野麗莎),219925,0,37,吳青峰;Lisa Ono,馬拉美的星期二,0.534,0.592,0,-8.56,0.0352,0.0426,0.0385,0.0957,0.202,88.012,4.0,mandopop,1
Take U Back - Mad Dog Remix,305625,0,24,Angerfist;Mad Dog,The Deadfaced Dimension,0.433,0.99,11,-3.224,0.326,0.000207,0.831,0.123,0.123,173.0,4.0,techno,3
Dozen + 10,160819,1,21,Govana,Liverpool Riddim,0.743,0.535,7,-5.016,0.284,0.217,3.13e-06,0.119,0.529,100.308,4.0,j-dance,1
勇敢的人,220640,0,3,No Party For Cao Dong,醜奴兒,0.719,0.557,11,-8.503,0.0365,0.0546,0.0235,0.0982,0.214,114.021,4.0,mandopop,1
Amor Sin Odio,332695,0,35,Skaparapid,Que Empiece Ya!,0.504,0.769,7,-9.082,0.129,0.0587,0.00255,0.207,0.579,118.562,4.0,spanish,1
Ihr könnt Euch einfach mal - Walter Wild Mix,277416,1,23,Ikke Hüftgold;Basti Trailerpark;Walter Wild,Ihr könnt Euch einfach mal,0.671,0.95,11,-3.39,0.104,0.0358,1.97e-06,0.366,0.6,139.986,4.0,happy,1
The Great Wound of History,184529,0,0,Beshenitar,The Great Wound of History,0.295,0.999,4,-3.66,0.0828,0.441,0.877,0.985,0.0253,140.002,4.0,iranian,3
你怎麼捨得我難過,271560,0,23,音樂磁場,音樂磁場1-國語經典名曲,0.743,0.336,6,-14.684,0.0301,0.892,0.00348,0.0983,0.439,112.305,3.0,mandopop,0
Shelter,343225,0,0,Ocoeur,Inner,0.146,0.0734,11,-23.291,0.0375,0.858,0.944,0.0769,0.033,68.61,4.0,idm,2
Sandsings - Stylophone mix,290760,0,0,Mira Calix,Pin Skeeling,0.468,0.699,9,-6.992,0.133,0.0514,0.252,0.107,0.222,163.239,4.0,idm,1
flat disc - Coffe Shop,140572,0,38,wet by water,flat disc,0.673,0.183,10,-16.714,0.0432,0.97,0.88,0.137,0.597,79.295,4.0,study,2
ヴァージニティー,252946,0,27,NMB48,ヴァージニティー (劇場盤),0.457,0.957,2,-2.021,0.0449,0.181,4.3e-05,0.218,0.678,164.892,4.0,j-idol,1
Lage Nahi Man,191770,0,56,Vismay Patel,Lage Nahi Man,0.622,0.318,6,-16.183,0.0268,0.855,0.00102,0.117,0.508,124.938,3.0,indian,0
